#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1184|SZUA-1184_00001	K08307	[EC:4.2.2.-]	mltD, dniR	membrane-bound lytic murein transglycosylase D	05E9H@bactNOG,0QHZG@gproNOG,16Q6H@proNOG,COG0741@NOG	Lytic Murein transglycosylase			SZUA-1184_1:c(1414..3030)	Membrane-bound lytic murein transglycosylase D	K08307	K08307		K08307	K08309
Candidatus_bacterium_SZUA-1184|SZUA-1184_00106									SZUA-1184_20:c(8732..9925)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00107	K00703	[EC:2.4.1.21]	glgA	starch synthase	05CXW@bactNOG,0CZCK@chlNOG,COG0297@NOG	Synthesizes alpha-1,4-glucan chains using ADP-glucose (By similarity)			SZUA-1184_20:c(10007..10837)	Glycogen synthase	K00703	K00703		K00703	K20812
Candidatus_bacterium_SZUA-1184|SZUA-1184_00108					05UFD@bactNOG,0GGNY@delNOG,0HHC2@dproNOG,17G76@proNOG,COG1729@NOG	tol-pal system protein YbgF			SZUA-1184_20:c(10847..11677)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00109	K05837		rodA, mrdB	rod shape determining protein RodA	05CNI@bactNOG,COG0772@NOG	cell division protein FtsW			SZUA-1184_20:c(11760..12665)	Peptidoglycan glycosyltransferase MrdB	K05837	K05837		K05837	K05837
Candidatus_bacterium_SZUA-1184|SZUA-1184_00110	K07107	[EC:3.1.2.-]	ybgC	acyl-CoA thioester hydrolase	05KGZ@bactNOG,COG0824@NOG	Thioesterase			SZUA-1184_21:c(120..524)	Putative esterase	K07107	K07107		K07107	K12500
Candidatus_bacterium_SZUA-1184|SZUA-1184_00111	K01962	[EC:6.4.1.2][EC:2.1.3.15]	accA	acetyl-CoA carboxylase carboxyl transferase subunit alpha	07QM9@bactNOG,09B8A@bctoNOG,0P86R@flaNOG,COG0825@NOG	Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA (By similarity)			SZUA-1184_21:c(521..1480)	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	K01962	K01962	K01962	K01962	K01962
Candidatus_bacterium_SZUA-1184|SZUA-1184_00112	K07011		K07011	uncharacterized protein	05F3Q@bactNOG,09CFS@bctoNOG,COG1216@NOG	glycosyl transferase			SZUA-1184_21:c(1482..3542)	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase	K07011			K07011	K20438
Candidatus_bacterium_SZUA-1184|SZUA-1184_00113	K00721	[EC:2.4.1.83]	DPM1	dolichol-phosphate mannosyltransferase	06N3V@bactNOG,0CZ67@chlNOG,0XQRC@NOG	dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83)			SZUA-1184_21:c(3552..4268)	Polyprenol monophosphomannose synthase	K00721	K00721		K00721	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00114	K00067	[EC:1.1.1.133]	rfbD, rmlD	dTDP-4-dehydrorhamnose reductase	0KS4Y@eurNOG,0WRF8@metNOG,COG1091@NOG,arCOG01367@arNOG	dTDP-4-dehydrorhamnose reductase			SZUA-1184_21:c(4265..5131)	dTDP-4-dehydrorhamnose reductase	K00067	K00067		K00067	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00115					05DPS@bactNOG,09BNS@bctoNOG,0XQ5H@NOG				SZUA-1184_21:c(5139..6101)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00116	K00681	[EC:2.3.2.2][EC:3.4.19.13]	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase	05CFB@bactNOG,0FK6S@cyaNOG,COG0405@NOG	Gamma-glutamyltransferase			SZUA-1184_22:c(155..1675)	Glutathione hydrolase proenzyme	K00681	K00681		K00681	K00681
Candidatus_bacterium_SZUA-1184|SZUA-1184_00117									SZUA-1184_22:c(1771..1926)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00118	K00244	[EC:1.3.5.4]	frdA	fumarate reductase flavoprotein subunit	00V7V@actNOG,05C00@bactNOG,COG1053@NOG	fumarate reductase flavoprotein subunit frdA			SZUA-1184_22:1963..3723	Fumarate reductase flavoprotein subunit	K00244	K00244		K00239	K18556
Candidatus_bacterium_SZUA-1184|SZUA-1184_00119									SZUA-1184_23:c(220..918)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00120					08R0Z@bactNOG,09C5S@bctoNOG,0FWBI@cytNOG,0ZIPU@NOG	Two component regulator propeller domain protein			SZUA-1184_23:1068..3479	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00121	K01126	[EC:3.1.4.46]	E3.1.4.46, glpQ, ugpQ	glycerophosphoryl diester phosphodiesterase	080QC@bactNOG,COG0584@NOG	glycerophosphoryl diester phosphodiesterase			SZUA-1184_23:c(3502..4362)	Glycerophosphodiester phosphodiesterase	K01126	K01126		K01126	K18696
Candidatus_bacterium_SZUA-1184|SZUA-1184_00122					08SJ9@bactNOG,0QPYF@gproNOG,11W2Q@NOG,17916@proNOG	alpha beta fold family			SZUA-1184_23:c(4441..5151)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00123					0560N@bacteNOG,05CDD@bactNOG,09AT7@bctoNOG,COG3176@NOG	Hemolysin			SZUA-1184_24:18..563	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00125	K00761	[EC:2.4.2.9]	upp, UPRT	uracil phosphoribosyltransferase	05CZ5@bactNOG,0G55T@defNOG,COG0035@NOG	Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate (By similarity)			SZUA-1184_24:c(761..1399)	Uracil phosphoribosyltransferase	K00761	K00761		K00761	K00761
Candidatus_bacterium_SZUA-1184|SZUA-1184_00126	K09457	[EC:1.7.1.13]	queF	7-cyano-7-deazaguanine reductase	0816Z@bactNOG,1CHG9@therNOG,COG0780@NOG	Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1) (By similarity)			SZUA-1184_24:c(1419..1808)	NADPH-dependent 7-cyano-7-deazaguanine reductase	K09457	K09457		K09457	K09457
Candidatus_bacterium_SZUA-1184|SZUA-1184_00128					08SK6@bactNOG,0D3S4@chloNOG,0Z5FE@NOG	Inherit from bactNOG: type III restriction system methylase			SZUA-1184_24:2428..2643	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00129					08JYZ@bactNOG,09BID@bctoNOG,0P7A4@flaNOG,COG1284@NOG	Uncharacterized protein conserved in bacteria (DUF2179)			SZUA-1184_24:c(2753..3730)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00130									SZUA-1184_24:3987..4262	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00131									SZUA-1184_24:4404..5057	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00132	K21481	[EC:1.14.99.57]	mhuD, hmoB	heme oxygenase (mycobilin-producing)	01ZQG@aproNOG,05KWM@bactNOG,17FZ3@proNOG,COG2329@NOG	Antibiotic biosynthesis monooxygenase			SZUA-1184_24:5122..5430	Heme-degrading monooxygenase	K21481				K21481
Candidatus_bacterium_SZUA-1184|SZUA-1184_00133					07HZV@bactNOG,0ZJ2K@NOG				SZUA-1184_24:5575..7617	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00134									SZUA-1184_24:7791..8741	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00135									SZUA-1184_24:8900..9133	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00136					08R4N@bactNOG,11FFS@NOG	DNA primase			SZUA-1184_24:9126..11180	DNA primase					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00137									SZUA-1184_24:11469..11792	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00138					05D1Y@bactNOG,0QWQN@gproNOG,0XRS7@NOG,17N4E@proNOG	Phage integrase family			SZUA-1184_24:11949..13097	Tyrosine recombinase XerC					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00139					056YS@bacteNOG,08W1T@bactNOG,09EMI@bctoNOG,11IP3@NOG				SZUA-1184_25:197..700	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00140									SZUA-1184_25:c(712..1251)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00141					0KSJ9@eurNOG,COG0477@NOG,arCOG00132@arNOG	Major facilitator superfamily permease			SZUA-1184_25:c(1499..2803)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00142	K15383		K15383	MtN3 and saliva related transmembrane protein	05W3H@bactNOG,09JDI@bctoNOG,1AKVI@sphNOG,COG4095@NOG	MtN3 saliva-related transmembrane protein, conserved region			SZUA-1184_25:c(2895..3149)	Sugar transporter SemiSWEET	K15383	K15383	K15383	K15383	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00143	K10716		kch, trkA, mthK, pch	voltage-gated potassium channel	0KSYZ@eurNOG,0WM7Y@methaNOG,COG1226@NOG,arCOG01964@arNOG	Ion transport protein			SZUA-1184_25:c(3190..3993)	Cyclic nucleotide-gated potassium channel	K10716	K10716		K10716	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00144									SZUA-1184_25:c(4017..4379)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00145					05DXW@bactNOG,09A99@bctoNOG,0P7MJ@flaNOG,0XQEH@NOG	membrane associated hydrolase			SZUA-1184_25:4591..6801	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00146					0642T@bactNOG,122C2@NOG				SZUA-1184_25:c(6940..7428)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00147					05TM6@bactNOG,0QV6Y@gproNOG,12167@NOG,17JHS@proNOG				SZUA-1184_25:c(7448..7984)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00148					083BD@bactNOG,0D10G@chlNOG,0ZX4N@NOG				SZUA-1184_25:c(8087..8395)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00149	K03531		ftsZ	cell division protein FtsZ	05CDK@bactNOG,0ENPI@cloNOG,0ND68@firmNOG,COG0206@NOG	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)			SZUA-1184_26:c(70..1275)	Cell division protein FtsZ	K03531	K03531		K03531	K03531
Candidatus_bacterium_SZUA-1184|SZUA-1184_00150	K03590		ftsA	cell division protein FtsA	05CIT@bactNOG,0QIYH@gproNOG,16R3Y@proNOG,COG0849@NOG	This protein may be involved in anomalous filament growth. May be a component of the septum (By similarity)			SZUA-1184_26:c(1324..2598)	Cell division protein FtsA	K03590	K03590		K03590	K03590
Candidatus_bacterium_SZUA-1184|SZUA-1184_00151	K03589		ftsQ	cell division protein FtsQ	0812A@bactNOG,0GG09@delNOG,0HGYZ@dproNOG,124NJ@NOG,16WCJ@proNOG	Polypeptide-transport-associated domain protein FtsQ-type			SZUA-1184_26:c(2595..3362)	Cell division protein FtsQ	K03589			K03589	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00152	K00075	[EC:1.3.1.98]	murB	UDP-N-acetylmuramate dehydrogenase	05D4A@bactNOG,0EPDE@cloNOG,0NDUH@firmNOG,COG0812@NOG	Cell wall formation (By similarity)			SZUA-1184_26:c(3359..4264)	UDP-N-acetylenolpyruvoylglucosamine reductase	K00075	K00075		K00075	K00075
Candidatus_bacterium_SZUA-1184|SZUA-1184_00153	K07090		K07090	uncharacterized protein	11PJV@NOG	Sulfite exporter TauE/SafE			SZUA-1184_27:4..768	hypothetical protein	K07090	K07090		K07090	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00154	K03750	[EC:2.10.1.1]	moeA	molybdopterin molybdotransferase	05CVM@bactNOG,0CZ3I@chlNOG,COG0303@NOG	molybdenum cofactor synthesis domain-containing protein			SZUA-1184_27:759..1988	Molybdopterin molybdenumtransferase	K03750	K03750		K03750	K03750
Candidatus_bacterium_SZUA-1184|SZUA-1184_00155	K21147	[EC:2.7.7.80][EC:2.7.7.-][EC:2.8.1.11][EC:2.8.1.-]	moeZR, moeBR	sulfur-carrier protein adenylyltransferase/sulfurtransferase	05D06@bactNOG,099H4@bctoNOG,0P7R9@flaNOG,COG0476@NOG	uba thif-type nad fad binding protein			SZUA-1184_27:1985..2974	Sulfur carrier protein adenylyltransferase	K21147	K21147		K03148	K21147
Candidatus_bacterium_SZUA-1184|SZUA-1184_00156	K03636		moaD, cysO	sulfur-carrier protein	0878J@bactNOG,0D07N@chlNOG,0ZI51@NOG	ThiS family			SZUA-1184_27:2971..3213	Molybdopterin synthase sulfur carrier subunit	K03636	K03636		K03636	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00157	K03635	[EC:2.8.1.12]	MOCS2B, moaE	molybdopterin synthase catalytic subunit	08ZAF@bactNOG,0D02Y@chlNOG,COG0314@NOG	molybdopterin biosynthesis MoaE protein			SZUA-1184_27:3214..3636	Molybdopterin synthase catalytic subunit	K03635	K03635		K03635	K21142
Candidatus_bacterium_SZUA-1184|SZUA-1184_00158	K09386		K09386	uncharacterized protein	01WWE@aproNOG,090HG@bactNOG,17E20@proNOG,COG3427@NOG	carbon monoxide dehydrogenase			SZUA-1184_27:3812..4267	hypothetical protein	K09386	K09386		K09386	K09386
Candidatus_bacterium_SZUA-1184|SZUA-1184_00159	K03518	[EC:1.2.5.3]	coxS	aerobic carbon-monoxide dehydrogenase small subunit	07Y8G@bactNOG,COG2080@NOG	(2Fe-2S)-binding domain protein			SZUA-1184_27:4316..4792	Carbon monoxide dehydrogenase small chain	K03518	K03518		K03518	K21675
Candidatus_bacterium_SZUA-1184|SZUA-1184_00160	K01436	[EC:3.5.1.-]	K01436	amidohydrolase	05CH2@bactNOG,0EPAS@cloNOG,0NDQE@firmNOG,COG1473@NOG	amidohydrolase			SZUA-1184_30:1..741	putative hydrolase YxeP	K01436			K01436	K21613
Candidatus_bacterium_SZUA-1184|SZUA-1184_00161	K00681	[EC:2.3.2.2][EC:3.4.19.13]	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase	05CFB@bactNOG,09AAA@bctoNOG,0FWCM@cytNOG,COG0405@NOG	gamma-glutamyltransferase			SZUA-1184_30:c(728..2410)	Glutathione hydrolase proenzyme	K00681	K00681		K00681	K00681
Candidatus_bacterium_SZUA-1184|SZUA-1184_00162					07P9T@bactNOG,0ZTWP@NOG				SZUA-1184_31:178..1323	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00163					07FPD@bactNOG,0GMR8@delNOG,0HMZT@dproNOG,0Y4JW@NOG,16YPI@proNOG	FecR protein			SZUA-1184_31:1412..2185	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00164					05C7Y@bactNOG,09AZW@bctoNOG,0ZI02@NOG				SZUA-1184_32:c(363..1412)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00165	K21883	[EC:1.1.1.401]	lra5	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+)	06YMM@bactNOG,0D24J@chloNOG,COG1028@NOG	Short-chain dehydrogenase reductase SDR			SZUA-1184_32:c(1511..2356)	3-oxoacyl-[acyl-carrier-protein] reductase	K21883				K21883
Candidatus_bacterium_SZUA-1184|SZUA-1184_00166	K06136		pqqB	pyrroloquinoline quinone biosynthesis protein B	07USU@bactNOG,09BDF@bctoNOG,0YT57@NOG	Coenzyme PQQ synthesis protein B			SZUA-1184_32:c(2384..3340)	Coenzyme PQQ synthesis protein B	K06136	K06136		K06136	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00167					08KM5@bactNOG,0GS1M@delNOG,0HRK0@dproNOG,17FP9@proNOG,COG5276@NOG	LVIVD repeat			SZUA-1184_32:3416..4825	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00168									SZUA-1184_33:1586..1807	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00169					07F8T@bactNOG,0ZIMY@NOG				SZUA-1184_33:2532..3767	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00170									SZUA-1184_34:1495..1659	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00171	K07146		K07146	UPF0176 protein	05C72@bactNOG,0QKXC@gproNOG,16SCZ@proNOG,COG1054@NOG	UPF0176 protein			SZUA-1184_35:60..458	hypothetical protein	K07146	K07146		K07146	K07146
Candidatus_bacterium_SZUA-1184|SZUA-1184_00172	K03294		TC.APA	basic amino acid/polyamine antiporter, APA family	07THB@bactNOG,09CM4@bctoNOG,COG0531@NOG	amino acid			SZUA-1184_35:530..1858	Serine/threonine exchanger SteT	K03294	K03294		K03294	K20971
Candidatus_bacterium_SZUA-1184|SZUA-1184_00173									SZUA-1184_35:1935..2216	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00174	K03568		tldD	TldD protein	05D1U@bactNOG,0GDUY@delNOG,0HEUJ@dproNOG,175XY@proNOG,COG0312@NOG	Putative modulator of DNA gyrase			SZUA-1184_35:2219..3709	Metalloprotease TldD	K03568	K03568	K03568	K03568	K03592
Candidatus_bacterium_SZUA-1184|SZUA-1184_00175					0897A@bactNOG,100FX@NOG	TonB-dependent Receptor Plug Domain			SZUA-1184_36:c(291..3299)	Protein oar					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00176					083BD@bactNOG,0D10G@chlNOG,0ZX4N@NOG				SZUA-1184_36:c(3374..4366)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00177									SZUA-1184_36:c(4396..4893)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00178	K21850		KRE6	beta-glucan synthesis-associated protein KRE6	07EFZ@bactNOG,0QPGK@gproNOG,16VYB@proNOG,COG2273@NOG	Beta-glucan synthesis-associated protein (SKN1)			SZUA-1184_37:c(475..2265)	Glucan endo-1,3-beta-glucosidase A1	K21850				K21850
Candidatus_bacterium_SZUA-1184|SZUA-1184_00179	K00845	[EC:2.7.1.2]	glk	glucokinase	0567X@bacteNOG,05DKQ@bactNOG,09B9K@bctoNOG,COG1940@NOG	glucokinase			SZUA-1184_37:c(2348..3301)	Glucokinase	K00845	K00845		K00845	K20433
Candidatus_bacterium_SZUA-1184|SZUA-1184_00180					05SWE@bactNOG,0XP9X@NOG,17SDP@proNOG	CotH protein			SZUA-1184_37:c(3436..5238)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00181					05SWE@bactNOG,0XP9X@NOG,17SDP@proNOG	CotH protein			SZUA-1184_37:c(5248..7005)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00182	K05349	[EC:3.2.1.21]	bglX	beta-glucosidase	07QK4@bactNOG,099WF@bctoNOG,0P7K6@flaNOG,COG1472@NOG	Beta-glucosidase			SZUA-1184_37:c(7026..9275)	Beta-glucosidase BoGH3B	K05349	K05349		K05349	K20836
Candidatus_bacterium_SZUA-1184|SZUA-1184_00183	K02529		lacI, galR	LacI family transcriptional regulator	05ETE@bactNOG,0D4NA@chloNOG,COG1609@NOG	HTH_LACI			SZUA-1184_37:c(9259..10266)	Lactose operon repressor	K02529			K02529	K17640
Candidatus_bacterium_SZUA-1184|SZUA-1184_00185									SZUA-1184_39:c(193..1068)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00186	K19804		lapB	lipopolysaccharide assembly protein B	05CFV@bactNOG,0QI4I@gproNOG,16PW7@proNOG,COG2956@NOG	Tetratricopeptide repeat protein			SZUA-1184_39:c(1065..2117)	Lipopolysaccharide assembly protein B	K19804			K19804	K19804
Candidatus_bacterium_SZUA-1184|SZUA-1184_00187									SZUA-1184_39:c(2120..2437)	Lipopolysaccharide assembly protein A					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00188	K06168	[EC:2.8.4.3]	miaB	tRNA-2-methylthio-N6-dimethylallyladenosine synthase	055EC@bacteNOG,05CIW@bactNOG,09A2M@bctoNOG,COG0621@NOG	Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine (By similarity)			SZUA-1184_39:c(2437..3759)	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	K06168	K06168		K06168	K18707
Candidatus_bacterium_SZUA-1184|SZUA-1184_00189	K21472	[EC:3.4.-.-]	lytH	peptidoglycan LD-endopeptidase LytH	05DR5@bactNOG,0D0RT@chlNOG,COG0739@NOG	Peptidase family M23			SZUA-1184_39:c(3813..4757)	Murein DD-endopeptidase MepM	K21472				K21472
Candidatus_bacterium_SZUA-1184|SZUA-1184_00190	K03086		rpoD	RNA polymerase primary sigma factor	05DG1@bactNOG,099MA@bctoNOG,1AG1Q@sphNOG,COG0568@NOG	RNA polymerase, sigma 70 subunit, RpoD subfamily			SZUA-1184_39:c(4862..5704)	RNA polymerase sigma factor SigA	K03086	K03086		K03086	K03089
Candidatus_bacterium_SZUA-1184|SZUA-1184_00191									SZUA-1184_39:c(5713..6186)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00192									SZUA-1184_39:c(6239..6406)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00193					COG0644@NOG,arCOG06720@arNOG	Inherit from COG: geranylgeranyl reductase			SZUA-1184_39:c(6387..7451)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00194	K00058	[EC:1.1.1.95][EC:1.1.1.399]	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	08JQ1@bactNOG,COG0111@NOG	Dehydrogenase			SZUA-1184_39:c(7477..9054)	D-3-phosphoglycerate dehydrogenase	K00058	K00058		K00058	K16843
Candidatus_bacterium_SZUA-1184|SZUA-1184_00195	K01681	[EC:4.2.1.3]	ACO, acnA	aconitate hydratase	08I0Z@bactNOG,COG1048@NOG	Aconitate hydratase			SZUA-1184_39:c(9058..11304)	Aconitate hydratase A	K01681	K01681	K01681	K01681	K20930
Candidatus_bacterium_SZUA-1184|SZUA-1184_00196	K01886	[EC:6.1.1.18]	QARS, glnS	glutaminyl-tRNA synthetase	05CX6@bactNOG,COG0008@NOG	glutaminyL-tRNA synthetase			SZUA-1184_40:c(100..1761)	Glutamine--tRNA ligase	K01886	K01886		K01886	K09698
Candidatus_bacterium_SZUA-1184|SZUA-1184_00197	K01885	[EC:6.1.1.17]	EARS, gltX	glutamyl-tRNA synthetase	05C20@bactNOG,0EP04@cloNOG,0NDF1@firmNOG,COG0008@NOG	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)			SZUA-1184_40:c(1754..3187)	Glutamate--tRNA ligase	K01885	K01885		K01885	K09698
Candidatus_bacterium_SZUA-1184|SZUA-1184_00198									SZUA-1184_41:352..513	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00199									SZUA-1184_41:1079..2272	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00200	K21883	[EC:1.1.1.401]	lra5	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+)	07FW0@bactNOG,0B9ZY@bproNOG,16TTT@proNOG,COG1028@NOG	Short-chain dehydrogenase reductase SDR			SZUA-1184_41:2319..3080	putative oxidoreductase	K21883				K21883
Candidatus_bacterium_SZUA-1184|SZUA-1184_00201	K21972		bluR	MerR family transcriptional regulator, repressor of blue light- and temperature-responsive genes	01Z4K@aproNOG,05PCZ@bactNOG,17HRM@proNOG,COG0789@NOG	Transcriptional regulator			SZUA-1184_41:3140..3556	HTH-type transcriptional regulator GlnR	K21972				K21972
Candidatus_bacterium_SZUA-1184|SZUA-1184_00202	K00249	[EC:1.3.8.7]	ACADM, acd	acyl-CoA dehydrogenase	00BHN@actNOG,05C1G@bactNOG,COG1960@NOG	acyl-Coa dehydrogenase			SZUA-1184_41:3596..4735	Acyl-CoA dehydrogenase	K00249			K00249	K22027
Candidatus_bacterium_SZUA-1184|SZUA-1184_00203	K00626	[EC:2.3.1.9]	E2.3.1.9, atoB	acetyl-CoA C-acetyltransferase	05CHU@bactNOG,09C3H@bctoNOG,COG0183@NOG	Acetyl-CoA acetyltransferase			SZUA-1184_41:4776..5981	Putative acyltransferase	K00626	K00626		K00626	K07823
Candidatus_bacterium_SZUA-1184|SZUA-1184_00204	K02014		TC.FEV.OM	iron complex outermembrane recepter protein	05JXS@bactNOG,09AWN@bctoNOG,0Y7AZ@NOG	tonB-dependent Receptor			SZUA-1184_42:63..3146	Colicin I receptor	K02014	K02014		K02014	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00205	K00518	[EC:1.15.1.1]	sodN	nickel superoxide dismutase	05JG2@bactNOG,11QDZ@NOG	Nickel-containing superoxide dismutase			SZUA-1184_42:3426..3926	hypothetical protein	K00518	K00518		K00518	
