#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00001	K03892		arsR	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	00P00@actNOG,05NK3@bactNOG,COG0640@NOG	transcriptional regulator, ArsR family			SZUA-1093_1:1101..1487	HTH-type transcriptional repressor CzrA	K03892			K03892	K22043
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00101	K12661	[EC:4.2.1.90]	LRA3, yfaW	L-rhamnonate dehydratase	05CXK@bactNOG,COG4948@NOG	mandelate racemase muconate lactonizing			SZUA-1093_11:714..1763	L-rhamnonate dehydratase	K12661	K12661		K12661	K21624
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00102									SZUA-1093_12:7..531	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00103	K01607	[EC:4.1.1.44]	pcaC	4-carboxymuconolactone decarboxylase	08XJS@bactNOG,11SFK@NOG	carboxymuconolactone decarboxylase			SZUA-1093_12:562..1107	hypothetical protein	K01607			K01607	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00104	K21835	[EC:1.1.98.5]	adf	secondary-alcohol dehydrogenase (coenzyme-F420)	00BKG@actNOG,07B9R@bactNOG,COG2141@NOG	Luciferase family			SZUA-1093_12:c(1122..2012)	hypothetical protein	K21835				K21835
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00105	K21334				05CPC@bactNOG,0D230@chloNOG,COG0667@NOG	aldo keto reductase			SZUA-1093_12:c(2025..2957)	Aldo-keto reductase YhdN	K21334				K21334
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00106	K05979	[EC:3.1.3.71]	comB	2-phosphosulfolactate phosphatase	08N5B@bactNOG,0I8IG@eryNOG,0P4QT@firmNOG,COG2045@NOG	2-phosphosulpholactate phosphatase			SZUA-1093_12:c(2976..3665)	putative 2-phosphosulfolactate phosphatase	K05979	K05979		K05979	K05979
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00107	K21401	[EC:1.3.99.38]	menJ	menaquinone-9 beta-reductase	05P52@bactNOG,0ES99@cloNOG,0NI5G@firmNOG,COG0644@NOG	geranylgeranyl reductase			SZUA-1093_12:c(3708..4937)	Menaquinone reductase	K21401				K21401
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00108	K03527	[EC:1.17.7.4]	ispH, lytB	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase	01QQU@aproNOG,05C48@bactNOG,16PFS@proNOG,COG0761@NOG	Converts 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) (By similarity)			SZUA-1093_12:c(5002..5904)	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	K03527	K03527		K02945	K03527
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00109	K20615	[EC:4.2.1.145]	vioD	capreomycidine synthase	005Y5@aciNOG,05CHM@bactNOG,COG0436@NOG	Cys/Met metabolism PLP-dependent enzyme			SZUA-1093_12:6020..7183	Aspartate aminotransferase	K20615				K20615
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00110	K00820	[EC:2.6.1.16]	glmS, GFPT	glucosamine---fructose-6-phosphate aminotransferase (isomerizing)	05JZ1@bactNOG,COG0449@NOG	SIS domain			SZUA-1093_12:7251..8342	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	K00820	K00820		K00820	K00820
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00111	K01950	[EC:6.3.5.1]	E6.3.5.1, NADSYN1, QNS1, nadE	NAD+ synthase (glutamine-hydrolysing)	08GTT@bactNOG,0D5VV@chloNOG,0G7HX@dehNOG,COG0171@NOG,COG0388@NOG	glutamine-dependent NAD( ) synthetase			SZUA-1093_12:8472..10214	Glutamine-dependent NAD(+) synthetase	K01950	K01950		K01916	K20806
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00112	K00796	[EC:2.5.1.15]	folP	dihydropteroate synthase	05EEI@bactNOG,0ENPR@cloNOG,0NDHW@firmNOG,COG0294@NOG	dihydropteroate synthase			SZUA-1093_12:c(10222..11064)	Dihydropteroate synthase	K00796	K00796	K00796	K00796	K18974
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00113	K01966	[EC:6.4.1.3][EC:2.1.3.15]	PCCB, pccB	propionyl-CoA carboxylase beta chain	05D8K@bactNOG,0G5DI@defNOG,COG4799@NOG	propionyl-CoA carboxylase			SZUA-1093_12:11173..12735	Propionyl-CoA carboxylase beta chain	K01966	K01966		K01966	K19312
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00114									SZUA-1093_12:12732..12935	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00115	K01960	[EC:6.4.1.1]	pycB	pyruvate carboxylase subunit B	07QSA@bactNOG,0D29B@chloNOG,0G6W1@dehNOG,COG5016@NOG	Oxaloacetate decarboxylase, alpha subunit			SZUA-1093_12:12959..14806	2-oxoglutarate carboxylase large subunit	K01960	K01960		K01571	K20140
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00116	K00024	[EC:1.1.1.37]	mdh	malate dehydrogenase	05C80@bactNOG,0GB7Q@delNOG,0HC2D@dproNOG,16Q71@proNOG,COG0039@NOG	Catalyzes the reversible oxidation of malate to oxaloacetate (By similarity)			SZUA-1093_12:14947..15882	Malate dehydrogenase	K00024	K00024		K00016	K00051
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00117	K22579				00KN4@actNOG,06852@bactNOG,COG0574@NOG	mobile region			SZUA-1093_12:15990..17660	Chondramide synthase cmdD	K22579		K22579	K01007	K21787
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00118									SZUA-1093_12:17734..17967	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00119	K00241		sdhC, frdC	succinate dehydrogenase / fumarate reductase, cytochrome b subunit	086B8@bactNOG,COG2048@NOG	CoB-CoM heterodisulfide reductase			SZUA-1093_12:c(18811..19704)	8-methylmenaquinol:fumarate reductase membrane anchor subunit	K00241	K00241		K00241	K18928
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00120	K00240	[EC:1.3.5.1][EC:1.3.5.4]	sdhB, frdB	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	05E33@bactNOG,COG0479@NOG	succinate dehydrogenase			SZUA-1093_12:c(19701..20657)	Fumarate reductase iron-sulfur subunit	K00240	K00240		K00240	K18557
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00121	K00239	[EC:1.3.5.1][EC:1.3.5.4]	sdhA, frdA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit	00CCK@actNOG,05C00@bactNOG,COG1053@NOG	Succinate dehydrogenase (Flavoprotein subunit)			SZUA-1093_12:c(20742..22418)	Succinate dehydrogenase flavoprotein subunit	K00239	K00239		K00239	K18556
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00122									SZUA-1093_12:c(22942..23205)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00123									SZUA-1093_12:c(23335..23451)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00124	K01817	[EC:5.3.1.24]	trpF	phosphoribosylanthranilate isomerase	08ZGB@bactNOG,0D2SK@chloNOG,0D881@chlorNOG,COG0135@NOG	N-(5'-phosphoribosyl)anthranilate isomerase			SZUA-1093_12:c(23532..24182)	N-(5'-phosphoribosyl)anthranilate isomerase	K01817	K01817		K01817	K16187
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00125	K01609	[EC:4.1.1.48]	trpC	indole-3-glycerol phosphate synthase	05DK0@bactNOG,0D2AM@chloNOG,0G76D@dehNOG,COG0134@NOG	Indole-3-glycerol phosphate synthase			SZUA-1093_12:c(24179..24976)	Indole-3-glycerol phosphate synthase	K01609	K01609		K01609	K13501
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00126	K01091	[EC:3.1.3.18]	gph	phosphoglycolate phosphatase	COG0546@NOG	had-superfamily hydrolase, subfamily ia, variant			SZUA-1093_12:c(24963..25265)	Phosphoglycolate phosphatase	K01091			K01091	K11777
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00127	K03743	[EC:3.5.1.42]	pncC	nicotinamide-nucleotide amidase	01Y44@aproNOG,090V1@bactNOG,17EPN@proNOG,COG1546@NOG	CinA domain protein			SZUA-1093_13:807..1295	CinA-like protein	K03743				K03743
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00128	K03426	[EC:3.6.1.22]	E3.6.1.22, NUDT12, nudC	NAD+ diphosphatase	05E09@bactNOG,0QKST@gproNOG,16RKK@proNOG,COG2816@NOG	NADH pyrophosphatase			SZUA-1093_13:c(1334..2260)	NADH pyrophosphatase	K03426	K03426	K03426	K03426	K03659
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00129									SZUA-1093_13:2501..2809	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00130									SZUA-1093_13:c(3072..3314)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00131	K01883	[EC:6.1.1.16]	CARS, cysS	cysteinyl-tRNA synthetase	05C8N@bactNOG,0D1NA@chloNOG,COG0215@NOG	Cysteinyl-tRNA synthetase			SZUA-1093_13:c(3595..4833)	Cysteine--tRNA ligase	K01883	K01883		K01883	K15526
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00132									SZUA-1093_14:117..878	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00133	K03518	[EC:1.2.5.3]	coxS	aerobic carbon-monoxide dehydrogenase small subunit	07UQR@bactNOG,0BKIT@bproNOG,17D3B@proNOG,COG2080@NOG	[2Fe-2S] binding domain			SZUA-1093_14:c(875..1366)	4-hydroxybenzoyl-CoA reductase subunit gamma	K03518	K03518		K03518	K21675
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00134	K21469	[EC:3.4.16.4]	pbp4b	serine-type D-Ala-D-Ala carboxypeptidase	0149X@actNOG,07VJ7@bactNOG,COG1680@NOG	Beta-lactamase			SZUA-1093_14:c(1375..2751)	Protein flp	K21469				K21469
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00135	K01784	[EC:5.1.3.2]	galE, GALE	UDP-glucose 4-epimerase	00CZ4@actNOG,05DGQ@bactNOG,COG0451@NOG	Nad-dependent epimerase dehydratase			SZUA-1093_15:c(6..863)	UDP-glucose 4-epimerase	K01784			K01784	K22025
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00136	K01464	[EC:3.5.2.2]	DPYS, dht, hydA	dihydropyrimidinase	05CD3@bactNOG,0QKKW@gproNOG,16PSG@proNOG,COG0044@NOG	dihydro-orotase (EC 3.5.2.3)			SZUA-1093_15:1272..2681	D-hydantoinase	K01464	K01464		K01464	K01466
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00137					07MZC@bactNOG,0NXJP@firmNOG,COG5267@NOG	Protein of unknown function (DUF1800)			SZUA-1093_15:2788..4227	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00138					0M1ZV@eurNOG,0WPKS@methaNOG,COG3391@NOG,arCOG02510@arNOG,arCOG03561@arNOG,arCOG03563@arNOG,arCOG03611@arNOG	NHL repeat			SZUA-1093_15:4341..5372	Serine/threonine-protein kinase PknD					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00139					05SGK@bactNOG,0NWY2@firmNOG,COG4102@NOG	Protein of unknown function (DUF1501)			SZUA-1093_15:5431..6576	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00140					05C0R@bactNOG,0D21K@chloNOG,0XNN3@NOG	drug resistance transporter, EmrB QacA subfamily			SZUA-1093_16:67..1404	Riboflavin transporter RibZ					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00141					05C0R@bactNOG,0EPQM@cloNOG,0NDDU@firmNOG,0XNN3@NOG	Drug resistance transporter EmrB QacA			SZUA-1093_16:1409..2935	Riboflavin transporter RibZ					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00142									SZUA-1093_16:c(2973..3455)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00144					025EA@aproNOG,07F5H@bactNOG,0Z0BE@NOG,17HEH@proNOG	Methyltransferase domain			SZUA-1093_17:c(134..436)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00145					0KUC7@eurNOG,0WMTB@methaNOG,COG2835@NOG,arCOG04124@arNOG	UPF0434 protein			SZUA-1093_17:869..1051	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00146	K00950	[EC:2.7.6.3]	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	05K8U@bactNOG,0D2S8@chloNOG,COG0801@NOG	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase			SZUA-1093_17:c(997..1545)	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	K00950	K00950		K00950	K13941
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00147	K02042		phnE	phosphonate transport system permease protein	05S7S@bactNOG,0QIRU@gproNOG,16VBV@proNOG,COG3639@NOG	Phosphonate ABC transporter			SZUA-1093_17:c(1562..2332)	Phosphate-import permease protein PhnE	K02042	K02042		K02042	K02042
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00148	K02042		phnE	phosphonate transport system permease protein	08TQ2@bactNOG,0QMGP@gproNOG,179IS@proNOG,COG3639@NOG	Phosphonate ABC transporter			SZUA-1093_17:c(2343..2810)	Phosphate-import permease protein PhnE	K02042	K02042		K02042	K02042
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00149	K02042		phnE	phosphonate transport system permease protein	08TQ2@bactNOG,0QMGP@gproNOG,179IS@proNOG,COG3639@NOG	Phosphonate ABC transporter			SZUA-1093_17:c(2841..3254)	hypothetical protein	K02042			K02042	K02042
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00150	K02041	[EC:3.6.3.28]	phnC	phosphonate transport system ATP-binding protein	05D5T@bactNOG,0FMMX@cyaNOG,COG3638@NOG	Phosphonate ABC transporter			SZUA-1093_17:c(3202..3465)	hypothetical protein	K02041			K02041	K02041
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00151	K02044		phnD	phosphonate transport system substrate-binding protein	06ZX3@bactNOG,0QMNM@gproNOG,16PRJ@proNOG,COG3221@NOG	phosphonate ABC transporter, periplasmic phosphonate-binding protein			SZUA-1093_17:c(3985..4410)	putative ABC transporter phosphite binding protein PhnD1	K02044	K02044		K02044	K02044
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00152	K02044		phnD	phosphonate transport system substrate-binding protein	06ZX3@bactNOG,0QMNM@gproNOG,16PRJ@proNOG,COG3221@NOG	phosphonate ABC transporter, periplasmic phosphonate-binding protein			SZUA-1093_17:c(4547..4858)	putative ABC transporter phosphite binding protein PhnD1	K02044	K02044		K02044	K02044
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00153					07UN8@bactNOG,0NGF9@firmNOG,0YTEM@NOG				SZUA-1093_17:c(5040..6470)	Dihydroorotase					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00154	K08884	[EC:2.7.11.1]	K08884	serine/threonine protein kinase, bacterial	00S5E@actNOG,05PQA@bactNOG,COG0515@NOG	Inherit from COG: Serine Threonine protein kinase			SZUA-1093_17:6692..7186	hypothetical protein	K08884			K08884	K22009
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00155	K00567	[EC:2.1.1.63]	ogt, MGMT	methylated-DNA-[protein]-cysteine S-methyltransferase	05K85@bactNOG,0D32C@chloNOG,COG0350@NOG	Methylated-DNA--protein-cysteine methyltransferase			SZUA-1093_18:12..629	Methylated-DNA--protein-cysteine methyltransferase	K00567	K00567		K00567	K13531
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00156									SZUA-1093_18:c(743..970)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00157	K02337	[EC:2.7.7.7]	dnaE	DNA polymerase III subunit alpha	05C0B@bactNOG,0D193@chloNOG,0G6ZS@dehNOG,COG0587@NOG	DNA polymerase III, alpha subunit			SZUA-1093_18:c(967..4569)	DNA polymerase III subunit alpha	K02337	K02337		K02337	K14162
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00158	K10914		crp	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein	00CX3@actNOG,05IJJ@bactNOG,COG0664@NOG	CRP FNR family transcriptional regulator			SZUA-1093_19:c(231..590)	Cyclic AMP receptor protein	K10914	K10914		K01420	K21884
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00159	K03742	[EC:3.5.1.42]	pncC	nicotinamide-nucleotide amidase	08I62@bactNOG,COG1058@NOG	cina-like protein			SZUA-1093_19:c(604..1836)	Putative competence-damage inducible protein	K03742	K03742		K03742	K03742
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00160					05FM6@bactNOG,0EUCR@cloNOG,0NN1Z@firmNOG,11R32@NOG				SZUA-1093_19:c(2007..3062)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00161					05E8U@bactNOG,0FKJ5@cyaNOG,COG3225@NOG	ABC-type uncharacterized transport system			SZUA-1093_19:c(3075..4736)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00162	K01992		ABC-2.P	ABC-2 type transport system permease protein	085SG@bactNOG,0EQBH@cloNOG,0NF83@firmNOG,COG1277@NOG	ABC-2 type transporter			SZUA-1093_19:c(4737..5447)	putative multidrug ABC transporter permease YbhR	K01992	K01992		K01992	K21397
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00163	K01990		ABC-2.A	ABC-2 type transport system ATP-binding protein	05CJ1@bactNOG,0D2FD@chloNOG,COG1131@NOG	ABC transporter related protein			SZUA-1093_19:c(5444..6427)	ABC transporter ATP-binding protein NatA	K01990	K01990	K01990	K01990	K21397
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00164	K01611	[EC:4.1.1.50]	speD, AMD1	S-adenosylmethionine decarboxylase	05X3E@bactNOG,0GFJR@delNOG,0HGET@dproNOG,17M29@proNOG,COG1586@NOG	Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine (By similarity)			SZUA-1093_19:6745..7179	S-adenosylmethionine decarboxylase proenzyme	K01611	K01611		K00797	K01611
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00165	K01480	[EC:3.5.3.11]	speB	agmatinase	05CYW@bactNOG,0GAJV@delNOG,0HDTD@dproNOG,16R9M@proNOG,COG0010@NOG	K01480 agmatinase EC 3.5.3.11			SZUA-1093_19:7166..8086	N(1)-aminopropylagmatine ureohydrolase	K01480	K01480		K01480	K19723
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00166	K04487	[EC:2.8.1.7]	iscS, NFS1	cysteine desulfurase	05C3J@bactNOG,0ENYR@cloNOG,0ND9X@firmNOG,COG1104@NOG	Cysteine desulfurase			SZUA-1093_19:8161..9354	Cysteine desulfurase IscS	K04487	K04487	K04487	K04487	K04487
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00167									SZUA-1093_19:9357..9974	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00168	K03671		trxA	thioredoxin 1	05K63@bactNOG,09GE9@bctoNOG,0FX9Q@cytNOG,COG0526@NOG	K03671 thioredoxin 1			SZUA-1093_19:10058..10387	Thioredoxin 1	K03671	K03671	K03671	K03671	K13996
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00170									SZUA-1093_19:11044..11328	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00171									SZUA-1093_19:c(11549..11773)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00172									SZUA-1093_19:c(11795..12091)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00173					01UXB@aproNOG,08MA0@bactNOG,10MMY@NOG,176PA@proNOG	Inherit from proNOG: Thiol-disulfide oxidoreductase domain protein			SZUA-1093_19:c(12133..13155)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00174	K00760	[EC:2.4.2.8]	hprT, hpt, HPRT1	hypoxanthine phosphoribosyltransferase	08UGV@bactNOG,0D291@chloNOG,COG0634@NOG	hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)			SZUA-1093_19:13501..14079	Hypoxanthine-guanine phosphoribosyltransferase	K00760	K00760		K00760	K15780
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00175	K01303	[EC:3.4.19.1]	APEH	acylaminoacyl-peptidase	05DRY@bactNOG,0QMJE@gproNOG,173YM@proNOG,COG1506@NOG	Peptidase S9 prolyl oligopeptidase active site			SZUA-1093_19:14142..14375	Dipeptidyl aminopeptidase BIII	K01303			K01303	K01282
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00176	K00681	[EC:2.3.2.2][EC:3.4.19.13]	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase	05CFB@bactNOG,COG0405@NOG	Gamma-glutamyltranspeptidase (EC 2.3.2.2)			SZUA-1093_19:14436..16151	Glutathione hydrolase proenzyme	K00681	K00681		K00681	K00681
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00177					08ZY3@bactNOG,0XQGX@NOG	Methyltransferase, type 11			SZUA-1093_19:c(16173..17018)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00178									SZUA-1093_20:c(753..845)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00179					06ASI@bactNOG,0D5E5@chloNOG,0Y0VT@NOG	response regulator receiver protein			SZUA-1093_20:c(944..1318)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00180	K07263	[EC:3.4.24.-]	pqqL	zinc protease	05C1V@bactNOG,1DJTE@verNOG,COG0612@NOG	Peptidase M16 domain protein			SZUA-1093_20:1558..4209	putative zinc protease	K07263			K07263	K07263
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00181	K02051		ABC.SN.S	NitT/TauT family transport system substrate-binding protein	04S7N@bacNOG,05D2X@bactNOG,0NE6W@firmNOG,COG0715@NOG	ABC transporter substrate-binding protein			SZUA-1093_20:4288..5211	hypothetical protein	K02051	K02051	K02051	K02051	K22067
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00182	K18568	[EC:3.6.1.-]	thnR	CoA pyrophosphatase	067WE@bactNOG,COG0494@NOG	MutT NUDIX family protein			SZUA-1093_20:5215..5535	hypothetical protein	K18568				K18568
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00183	K00326	[EC:1.6.2.2]	E1.6.2.2	cytochrome-b5 reductase	05CJJ@bactNOG,0QKWM@gproNOG,16TFY@proNOG,COG1018@NOG	oxidoreductase			SZUA-1093_20:5655..6356	Flavohemoprotein	K00326			K00326	K21832
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00184	K00059	[EC:1.1.1.100]	fabG	3-oxoacyl-[acyl-carrier protein] reductase	05WYC@bactNOG,09FSV@bctoNOG,COG1028@NOG	Short-chain dehydrogenase reductase sdr			SZUA-1093_20:c(6378..7154)	3-oxoacyl-[acyl-carrier-protein] reductase FabG	K00059	K00059		K00059	K21883
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00185	K07053	[EC:3.1.3.97]	E3.1.3.97	3',5'-nucleoside bisphosphate phosphatase	08VKE@bactNOG,0ETI7@cloNOG,0NK87@firmNOG,COG0613@NOG	PHP domain protein			SZUA-1093_20:7373..8029	hypothetical protein	K07053			K07053	K20859
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00186					0900P@bactNOG,0BMZF@bproNOG,11N9Z@NOG,17DUM@proNOG	Inherit from proNOG: Dehydratase			SZUA-1093_20:8026..8496	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00187									SZUA-1093_20:8496..8933	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00188	K16264		czcD, zitB	cobalt-zinc-cadmium efflux system protein	01S5A@aproNOG,05PGM@bactNOG,16SWU@proNOG,COG1230@NOG	Cation efflux system protein			SZUA-1093_20:9224..9790	Metal cation efflux system protein CzcD	K16264	K16264		K16264	K16264
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00189	K16264		czcD, zitB	cobalt-zinc-cadmium efflux system protein	01S5A@aproNOG,05PGM@bactNOG,16SWU@proNOG,COG1230@NOG	Cation efflux system protein			SZUA-1093_20:9827..10129	Metal cation efflux system protein CzcD	K16264	K16264		K16264	K16264
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00190									SZUA-1093_21:182..475	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00191	K03707	[EC:3.5.99.2]	tenA	thiaminase (transcriptional activator TenA)	00N9D@actNOG,05ETU@bactNOG,COG0819@NOG	TenA family			SZUA-1093_21:c(1406..2074)	Aminopyrimidine aminohydrolase	K03707	K03707	K03707	K03707	K20896
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00192	K09143		K09143	uncharacterized protein	05XI4@bactNOG,1C9XZ@synNOG,COG2164@NOG	Pfam:DUF369			SZUA-1093_21:c(2096..2470)	hypothetical protein	K09143	K09143		K09143	K09143
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00193	K00864	[EC:2.7.1.30]	glpK, GK	glycerol kinase	08JQ0@bactNOG,1CHYR@therNOG,COG0554@NOG	Key enzyme in the regulation of glycerol uptake and metabolism (By similarity)			SZUA-1093_21:2577..4094	Glycerol kinase	K00864	K00864		K00864	K00864
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00194	K01633	[EC:4.1.2.25][EC:5.1.99.8][EC:1.13.11.81]	folB	7,8-dihydroneopterin aldolase/epimerase/oxygenase	0IYD7@euNOG,COG1539@NOG	dihydroneopterin aldolase			SZUA-1093_21:4117..4485	Dihydroneopterin aldolase	K01633	K01633	K01633	K01633	K13940
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00195					086Z1@bactNOG,0D3JS@chloNOG,0XQVW@NOG	Lactamase_B			SZUA-1093_21:c(4614..5426)	hypothetical protein					
