#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00001					05GRK@bactNOG,11NHI@NOG	Gcn5-related n-acetyltransferase			SZUA-1123_1:101..577	Mycothiol acetyltransferase					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00102	K00109	[EC:1.1.99.2]	L2HGDH	2-hydroxyglutarate dehydrogenase	04SX4@bacNOG,05D5U@bactNOG,0NE8X@firmNOG,COG0579@NOG	FAD dependent oxidoreductase			SZUA-1123_2:c(16942..18129)	4-methylaminobutanoate oxidase (formaldehyde-forming)	K00109			K00109	K15736
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00103									SZUA-1123_2:c(18215..18706)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00104					0079H@aciNOG,08GJA@bactNOG,COG3876@NOG	Protein of unknown function (DUF1343)			SZUA-1123_2:c(18973..20208)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00105	K06223	[EC:2.1.1.72]	dam	DNA adenine methylase	1CBKE@thaNOG,COG0338@NOG,arCOG03416@arNOG	DNA adenine methylase			SZUA-1123_2:20415..21389	Modification methylase DpnIIA	K06223	K06223		K06223	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00106	K00249	[EC:1.3.8.7]	ACADM, acd	acyl-CoA dehydrogenase	05C1G@bactNOG,0D4A1@chloNOG,COG1960@NOG	Acyl-CoA dehydrogenase domain protein			SZUA-1123_2:21417..22628	Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase	K00249			K00249	K22027
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00107	K18289	[EC:2.8.3.-][EC:2.8.3.22]	ict-P	itaconate CoA-transferase	05C04@bactNOG,0D1T6@chloNOG,COG1804@NOG	L-carnitine dehydratase bile acid-inducible protein F			SZUA-1123_2:22628..23806	Acetyl-CoA:oxalate CoA-transferase	K18289			K18289	K20882
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00108	K14449	[EC:4.2.1.148]	mch, mcd	2-methylfumaryl-CoA hydratase	05DJG@bactNOG,0D30G@chloNOG,COG2030@NOG	MaoC domain protein dehydratase			SZUA-1123_2:23988..24491	Mesaconyl-CoA hydratase	K14449			K14449	K19659
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00109					060U5@bactNOG,09BQS@bctoNOG,0Y3QY@NOG	amidohydrolase			SZUA-1123_2:24723..26069	Adenine deaminase					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00110	K05608				01SZ9@aproNOG,08PGP@bactNOG,173TA@proNOG,COG2079@NOG	MmgE PrpD family protein			SZUA-1123_2:26223..27581	2-methylcitrate dehydratase 2	K05608				K05608
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00111	K01644	[EC:4.1.3.34]	citE	citrate lyase subunit beta / citryl-CoA lyase	01S4T@aproNOG,05CI0@bactNOG,16T2J@proNOG,COG2301@NOG	Citrate lyase			SZUA-1123_2:27684..28571	Citrate lyase subunit beta	K01644			K01644	K19281
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00112	K02495	[EC:1.3.98.3]	hemN, hemZ	oxygen-independent coproporphyrinogen III oxidase	05D4P@bactNOG,16UFH@proNOG,COG0635@NOG	coproporphyrinogen III oxidase			SZUA-1123_2:c(28696..30162)	Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR	K02495			K02495	K21936
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00113	K13721	[EC:3.4.11.-]	APE2	aminopeptidase 2	COG0308@NOG	aminopeptidase			SZUA-1123_2:c(30300..32927)	hypothetical protein	K13721				K13721
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00114	K00011	[EC:1.1.1.21]	AKR1B	aldehyde reductase	05CV8@bactNOG,COG0656@NOG	reductase			SZUA-1123_2:33087..33944	Aldo-keto reductase YhdN	K00011			K00011	K21334
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00115									SZUA-1123_3:83..1123	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00116	K00791	[EC:2.5.1.75]	miaA, TRIT1	tRNA dimethylallyltransferase	003WX@aciNOG,05DKX@bactNOG,COG0324@NOG	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A) (By similarity)			SZUA-1123_3:1528..2478	tRNA dimethylallyltransferase	K00791	K00791	K00791	K00791	K00791
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00117	K01129	[EC:3.1.5.1]	dgt	dGTPase	05C4Q@bactNOG,COG0232@NOG	deoxyguanosinetriphosphate triphosphohydrolase-like protein			SZUA-1123_3:2521..3573	Deoxyguanosinetriphosphate triphosphohydrolase-like protein	K01129	K01129		K01129	K01129
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00118	K07040		K07040	uncharacterized protein	05VAT@bactNOG,COG1399@NOG	metal-binding protein			SZUA-1123_3:4120..4641	hypothetical protein	K07040	K07040		K07040	K07040
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00119	K03621	[EC:2.3.1.15]	plsX	glycerol-3-phosphate acyltransferase PlsX	003F2@aciNOG,05C6B@bactNOG,COG0416@NOG	Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA (By similarity)			SZUA-1123_3:4965..6011	Phosphate acyltransferase	K03621	K03621	K03621	K03621	K03621
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00120	K00645	[EC:2.3.1.39]	fabD	[acyl-carrier-protein] S-malonyltransferase	05CJF@bactNOG,0GBQV@delNOG,0HCG2@dproNOG,16PZF@proNOG,COG0331@NOG	malonyl CoA-acyl carrier protein transacylase			SZUA-1123_3:6180..7112	Malonyl CoA-acyl carrier protein transacylase	K00645	K00645	K00645	K00645	K21381
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00121	K00059	[EC:1.1.1.100]	fabG	3-oxoacyl-[acyl-carrier protein] reductase	05CHR@bactNOG,0D1JU@chloNOG,0D6AR@chlorNOG,0XNW1@NOG	3-oxoacyl-(Acyl-carrier-protein) reductase			SZUA-1123_3:7355..8095	3-oxoacyl-[acyl-carrier-protein] reductase FabG	K00059	K00059		K00059	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00122	K02078		acpP	acyl carrier protein	005AI@aciNOG,05VNB@bactNOG,COG0236@NOG	Carrier of the growing fatty acid chain in fatty acid biosynthesis (By similarity)			SZUA-1123_3:8106..8342	Acyl carrier protein	K02078	K02078	K03955	K02078	K21790
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00123	K09458	[EC:2.3.1.179]	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II	003AD@aciNOG,05C0Q@bactNOG,COG0304@NOG	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity)			SZUA-1123_3:8369..9610	3-oxoacyl-[acyl-carrier-protein] synthase 2	K09458	K09458		K09458	K21789
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00124	K03521		fixA, etfB	electron transfer flavoprotein beta subunit	003Z1@aciNOG,05BZJ@bactNOG,COG2086@NOG	Electron transfer flavoprotein			SZUA-1123_3:9849..10610	Electron transfer flavoprotein subunit beta	K03521	K03521		K03521	K03521
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00125	K03522		fixB, etfA	electron transfer flavoprotein alpha subunit	003RK@aciNOG,05C10@bactNOG,COG2025@NOG	electron transfer flavoprotein subunit alpha			SZUA-1123_3:10711..11703	Electron transfer flavoprotein subunit alpha	K03522	K03522		K03522	K03522
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00126	K00311	[EC:1.5.5.1]	ETFDH	electron-transferring-flavoprotein dehydrogenase	006PU@aciNOG,05DWH@bactNOG,COG0644@NOG	Inherit from bactNOG: electron transfer flavoprotein-ubiquinone oxidoreductase			SZUA-1123_3:11840..13345	Electron transfer flavoprotein-ubiquinone oxidoreductase	K00311	K00311		K00311	K21401
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00127	K09778		K09778	uncharacterized protein	05KB8@bactNOG,0QX9H@gproNOG,17FU6@proNOG,COG2121@NOG	Domain of unknown function (DUF374)			SZUA-1123_3:13443..14105	hypothetical protein	K09778	K09778		K09778	K09778
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00128	K04768		acuC	acetoin utilization protein AcuC	05DGU@bactNOG,0GB3G@delNOG,0HCGE@dproNOG,16Q1U@proNOG,COG0123@NOG	Histone deacetylase			SZUA-1123_3:14253..15275	Histone deacetylase-like amidohydrolase	K04768				K04768
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00129	K00114	[EC:1.1.2.8]	exaA	alcohol dehydrogenase (cytochrome c)	05DZG@bactNOG,COG4993@NOG	Dehydrogenase			SZUA-1123_4:16..648	Quinoprotein alcohol dehydrogenase (cytochrome c)	K00114			K00114	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00130					05TWE@bactNOG,0GCMH@delNOG,0HE3R@dproNOG,0XRNX@NOG,177PJ@proNOG	Protein of unknown function (DUF1592)			SZUA-1123_4:660..2504	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00131					05DI0@bactNOG,0GD35@delNOG,0HE4A@dproNOG,0XNYJ@NOG,175X7@proNOG	Tat (Twin-arginine translocation) pathway signal sequence domain protein			SZUA-1123_4:2501..3904	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00132	K00114	[EC:1.1.2.8]	exaA	alcohol dehydrogenase (cytochrome c)	01QUF@aproNOG,05DZG@bactNOG,16RK0@proNOG,COG4993@NOG	Dehydrogenase			SZUA-1123_4:3979..5640	Quinohemoprotein alcohol dehydrogenase ADH IIB	K00114			K00114	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00133					005ZZ@aciNOG,05D9A@bactNOG,0XPNR@NOG	Thiol-disulfide isomerase			SZUA-1123_4:5834..7312	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00134									SZUA-1123_4:7309..8307	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00135	K05889	[EC:1.1.2.6]	pvadh	polyvinyl alcohol dehydrogenase (cytochrome)	0261N@aproNOG,07WJP@bactNOG,17CYP@proNOG,COG1520@NOG	PQQ enzyme repeat			SZUA-1123_4:c(8316..10133)	Polyvinylalcohol dehydrogenase	K05889	K05889		K05889	K20853
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00136	K01470	[EC:3.5.2.10]	E3.5.2.10	creatinine amidohydrolase	08U3X@bactNOG,COG1402@NOG	Creatininase			SZUA-1123_4:10371..12146	hypothetical protein	K01470			K01470	K14653
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00137					08Z1F@bactNOG,0GEQE@delNOG,0HFQE@dproNOG,17C6X@proNOG,COG2947@NOG	Pfam:DUF55			SZUA-1123_4:12552..13013	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00138	K21469	[EC:3.4.16.4]	pbp4b	serine-type D-Ala-D-Ala carboxypeptidase	05J41@bactNOG,0QQ8J@gproNOG,177YK@proNOG,COG1680@NOG	Beta-lactamase			SZUA-1123_4:c(13195..14643)	6-aminohexanoate-dimer hydrolase	K21469				K21469
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00139	K00627	[EC:2.3.1.12]	DLAT, aceF, pdhC	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	01Q92@aproNOG,05C7S@bactNOG,16PK1@proNOG,COG0508@NOG	pyruvate dehydrogenase complex			SZUA-1123_4:c(14846..16168)	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	K00627	K00627		K00627	K00658
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00140	K00163	[EC:1.2.4.1]	aceE	pyruvate dehydrogenase E1 component	01Q8X@aproNOG,05DAQ@bactNOG,16PVJ@proNOG,COG2609@NOG	Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2) (By similarity)			SZUA-1123_4:c(16189..18564)	Pyruvate dehydrogenase E1 component	K00163	K00163		K00163	K00163
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00141	K00666	[EC:6.2.1.-]	K00666	fatty-acyl-CoA synthase	04RWC@bacNOG,05CEY@bactNOG,0NEYQ@firmNOG,COG0318@NOG	AMP-dependent synthetase and ligase			SZUA-1123_4:c(18676..20247)	Long-chain-fatty-acid--CoA ligase	K00666	K00666		K00666	K21792
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00142					005ZZ@aciNOG,05D9A@bactNOG,0XPNR@NOG	Thiol-disulfide isomerase			SZUA-1123_4:c(20276..21604)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00143					COG3291@NOG,arCOG02510@arNOG	Cell surface protein			SZUA-1123_4:c(21660..22523)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00144	K01848	[EC:5.4.99.2]	E5.4.99.2A, mcmA1	methylmalonyl-CoA mutase, N-terminal domain	00385@aciNOG,05D5P@bactNOG,COG1884@NOG	methylmalonyl-CoA mutase (EC 5.4.99.2)			SZUA-1123_4:22719..24320	Methylmalonyl-CoA mutase	K01848	K01848		K01848	K20906
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00145	K09478	[EC:1.3.99.12]	ACADSB	short/branched chain acyl-CoA dehydrogenase	0035Q@aciNOG,05C1G@bactNOG,COG1960@NOG	Dehydrogenase			SZUA-1123_4:24354..25526	Acyl-CoA dehydrogenase	K09478		K09478	K00248	K22027
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00146									SZUA-1123_4:c(25507..25749)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00147					05IFC@bactNOG,0G93V@deiNOG,11TEW@NOG				SZUA-1123_4:26106..26327	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00148					08VRU@bactNOG,0BCMM@bproNOG,11JYI@NOG,17ATV@proNOG	Putative transmembrane protein			SZUA-1123_4:c(26645..27241)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00149	K18696	[EC:3.1.4.46]	GDE1	glycerophosphodiester phosphodiesterase	006QM@aciNOG,05JXB@bactNOG,COG0666@NOG	ANK			SZUA-1123_4:c(27435..28811)	Protein PhlB	K18696				K18696
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00150					05DI0@bactNOG,0XNYJ@NOG	Tat (Twin-arginine translocation) pathway signal sequence domain protein			SZUA-1123_4:c(28958..30304)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00151					05TWE@bactNOG,0XRNX@NOG	Protein of unknown function (DUF1595)			SZUA-1123_4:c(30331..32886)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00152									SZUA-1123_4:33055..33330	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00153	K00504	[EC:1.14.17.3]	PAM, PHM	peptidylglycine monooxygenase	05F0B@bactNOG,0XSQC@NOG	NHL repeat containing protein			SZUA-1123_4:33352..34449	hypothetical protein	K00504			K00504	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00154					021X4@aproNOG,061K0@bactNOG,126DG@NOG,17N0M@proNOG	Nitrile hydratase beta subunit			SZUA-1123_4:c(34646..34948)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00155	K20807	[EC:4.2.1.84]	nthB	nitrile hydratase subunit beta	08KGA@bactNOG,0BFCX@bproNOG,0YGPC@NOG,17466@proNOG	Nitrile hydratase			SZUA-1123_4:c(35013..35666)	Nitrile hydratase subunit beta	K20807	K20807		K01721	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00156	K01721	[EC:4.2.1.84]	nthA	nitrile hydratase subunit alpha	05EKJ@bactNOG,0QT2U@gproNOG,0XR8T@NOG,16S94@proNOG	nitrile hydratase subunit alpha			SZUA-1123_4:c(35663..36283)	Low-molecular weight cobalt-containing nitrile hydratase subunit alpha	K01721	K01721		K01721	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00157	K00284	[EC:1.4.7.1]	E1.4.7.1	glutamate synthase (ferredoxin)	05CBC@bactNOG,COG0069@NOG	glutamate synthase			SZUA-1123_4:36340..37956	Glutamate synthase [NADPH] large chain	K00284			K00284	K00268
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00158					06QQJ@bactNOG,0YGKA@NOG,17ZTP@proNOG				SZUA-1123_4:c(38021..39112)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00159									SZUA-1123_4:39469..39621	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00160	K00294	[EC:1.2.1.88]	E1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase	05C26@bactNOG,0GAZ6@delNOG,0HC63@dproNOG,16PDZ@proNOG,COG1012@NOG	Dehydrogenase			SZUA-1123_4:c(39651..41282)	1-pyrroline-5-carboxylate dehydrogenase 2	K00294	K00294	K00294	K00128	K21802
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00161									SZUA-1123_4:41397..42095	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00162	K04759		feoB	ferrous iron transport protein B	05CE1@bactNOG,0GB1M@delNOG,0HBSW@dproNOG,16PTK@proNOG,COG0370@NOG	Ferrous iron transport protein B			SZUA-1123_4:42377..44908	Fe(2+) transporter FeoB	K04759	K04759		K04759	K04759
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00163									SZUA-1123_4:44905..45123	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00164					08PYJ@bactNOG,0QSFD@gproNOG,17A73@proNOG,COG4760@NOG	Inherit from bactNOG: membrane			SZUA-1123_4:c(45132..45884)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00165	K03316		TC.CPA1	monovalent cation:H+ antiporter, CPA1 family	08EKG@bactNOG,0GSFT@delNOG,0HRYP@dproNOG,17101@proNOG,COG0025@NOG	Sodium/hydrogen exchanger family			SZUA-1123_4:46037..47953	K(+)/H(+) antiporter NhaP2	K03316			K03316	K03316
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00166					05CNA@bactNOG,1DGW3@verNOG,1DNZC@verrNOG,COG3209@NOG,COG4253@NOG	RHS Repeat			SZUA-1123_4:48034..48792	Beta-L-arabinobiosidase					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00167					005ZZ@aciNOG,05D9A@bactNOG,0XPNR@NOG	Thiol-disulfide isomerase			SZUA-1123_4:c(48795..50228)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00168	K03929	[EC:3.1.1.-]	pnbA	para-nitrobenzyl esterase	05EBR@bactNOG,COG2272@NOG	Carboxylesterase			SZUA-1123_4:50581..52182	Para-nitrobenzyl esterase	K03929	K03929		K03929	K21018
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00169									SZUA-1123_4:c(52193..52330)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00170					06ZFR@bactNOG,0YVNF@NOG				SZUA-1123_4:c(52477..53088)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00171	K01270	[EC:3.4.13.-]	pepD	dipeptidase D	05CIN@bactNOG,COG2195@NOG	aminoacyl-histidine dipeptidase			SZUA-1123_4:c(53176..54627)	Cytosol non-specific dipeptidase	K01270	K01270	K01270	K01270	K01270
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00172									SZUA-1123_4:54751..55644	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00173	K00046	[EC:1.1.1.69]	idnO	gluconate 5-dehydrogenase	05CHR@bactNOG,0XNW1@NOG,1APZ4@spiNOG	KR domain			SZUA-1123_4:c(55710..56462)	Gluconate 5-dehydrogenase	K00046			K00046	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00174	K15509	[EC:1.1.1.308]	hpsN	sulfopropanediol 3-dehydrogenase	05CEK@bactNOG,COG0141@NOG	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine (By similarity)			SZUA-1123_4:c(56455..57732)	Sulfopropanediol 3-dehydrogenase	K15509	K15509		K00013	K15509
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00175	K11928		putP	sodium/proline symporter	02HEE@arcNOG,0KRMC@eurNOG,COG0591@NOG,arCOG01316@arNOG	Sodium:solute symporter family			SZUA-1123_4:c(57887..59374)	High-affinity proline transporter PutP	K11928	K11928		K11928	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00176									SZUA-1123_4:c(59374..59961)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00177					05RFF@bactNOG,11ZF7@NOG				SZUA-1123_4:60034..60537	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00178	K17713		bamB	outer membrane protein assembly factor BamB	073HY@bactNOG,0YKBA@NOG,153ZU@plaNOG				SZUA-1123_4:60587..61822	Alcohol dehydrogenase (quinone), dehydrogenase subunit	K17713			K17713	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00179	K07048		PTER, php	phosphotriesterase-related protein	080QX@bactNOG,0EQRR@cloNOG,0NG4J@firmNOG,COG1735@NOG	metal-dependent hydrolase with the TIM-barrel fold			SZUA-1123_4:61942..63033	Phosphotriesterase homology protein	K07048	K07048		K07048	K07048
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00180					08MFS@bactNOG,0XTB0@NOG,153WR@plaNOG				SZUA-1123_4:63233..64525	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00181					05MWD@bactNOG,11VUX@NOG				SZUA-1123_4:c(64779..65456)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00182									SZUA-1123_4:65636..65938	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00183					08RC3@bactNOG,11FTB@NOG				SZUA-1123_4:66076..67278	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00184					07BS2@bactNOG,0D5ER@chloNOG,0D8RP@chlorNOG,0ZDC9@NOG				SZUA-1123_4:67587..67820	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00185	K06949	[EC:3.6.1.-][EC:3.1.3.100]	rsgA, engC	ribosome biogenesis GTPase / thiamine phosphate phosphatase	05E06@bactNOG,0EPB0@cloNOG,0NEC1@firmNOG,COG1162@NOG	May play a role in 30S ribosomal subunit biogenesis. Unusual circulary permuted GTPase that catalyzes rapid hydrolysis of GTP with a slow catalytic turnover (By similarity)			SZUA-1123_4:67838..68950	Small ribosomal subunit biogenesis GTPase RsgA	K06949	K06949		K06949	K06949
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00186	K01468	[EC:3.5.2.7]	hutI, AMDHD1	imidazolonepropionase	COG1228@NOG	amidohydrolase			SZUA-1123_4:68980..70191	hypothetical protein	K01468				K01468
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00187	K03594	[EC:1.16.3.1]	bfr	bacterioferritin	0822X@bactNOG,0D51H@chloNOG,11QFN@NOG	Rubrerythrin			SZUA-1123_4:c(70321..70761)	Bacterioferritin	K03594			K03594	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00188	K06889		K06889	uncharacterized protein	07U2T@bactNOG,COG1073@NOG	alpha beta			SZUA-1123_4:70935..71933	hypothetical protein	K06889	K06889		K06889	K11750
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00189	K00114	[EC:1.1.2.8]	exaA	alcohol dehydrogenase (cytochrome c)	05DZG@bactNOG,COG4993@NOG	Dehydrogenase			SZUA-1123_4:72032..73672	Quinohemoprotein alcohol dehydrogenase ADH IIB	K00114			K00114	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00190									SZUA-1123_4:73728..74021	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00191	K07735		algH	putative transcriptional regulator	08UJU@bactNOG,0QQTX@gproNOG,179Q7@proNOG,COG1678@NOG	UPF0301 protein			SZUA-1123_4:c(74076..74642)	hypothetical protein	K07735	K07735		K07735	K07735
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00192	K18979	[EC:1.17.99.6]	queG	epoxyqueuosine reductase	00406@aciNOG,05EH2@bactNOG,COG1600@NOG	Domain of unknown function (DUF1730)			SZUA-1123_4:c(74782..75873)	Epoxyqueuosine reductase	K18979	K18979		K18979	K18979
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00193	K02275	[EC:1.9.3.1]	coxB, ctaC	cytochrome c oxidase subunit II	08SNP@bactNOG,09DRG@bctoNOG,11HDX@NOG,1AIWP@sphNOG				SZUA-1123_4:c(76009..77211)	Cytochrome c oxidase subunit 2	K02275	K02275			
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00194									SZUA-1123_4:c(77240..77533)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00195	K00748	[EC:2.4.1.182]	lpxB	lipid-A-disaccharide synthase	05D0V@bactNOG,0GBGU@delNOG,0HC2T@dproNOG,16PSA@proNOG,COG0763@NOG	Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)			SZUA-1123_4:c(77530..78684)	Lipid-A-disaccharide synthase	K00748	K00748		K00748	K00748
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00196	K07263	[EC:3.4.24.-]	pqqL	zinc protease	05EV5@bactNOG,0FJD6@cyaNOG,COG0612@NOG	peptidase			SZUA-1123_4:c(78719..80230)	putative zinc protease	K07263			K07263	K07263
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00197	K07263	[EC:3.4.24.-]	pqqL	zinc protease	07RYK@bactNOG,0FK4V@cyaNOG,COG0612@NOG	peptidase			SZUA-1123_4:c(80227..81603)	putative zinc protease	K07263			K07263	K07263
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00198									SZUA-1123_4:c(81707..82519)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00199	K02536	[EC:2.3.1.191]	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	003UE@aciNOG,05D7M@bactNOG,COG1044@NOG	Catalyzes the N-acylation of UDP-3-O-acylglucosamine using 3-hydroxyacyl-ACP as the acyl donor. Is involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)			SZUA-1123_4:c(82626..83801)	UDP-3-O-acylglucosamine N-acyltransferase	K02536	K02536		K02536	K02536
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00200									SZUA-1123_4:c(83909..84601)	hypothetical protein					
