#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00001	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	05CA1@bactNOG,0QICC@gproNOG,16PNP@proNOG,COG0024@NOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1235_1:c(428..1207)	Methionine aminopeptidase	K01265	K01265		K01265	K14813
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00086	K00626	[EC:2.3.1.9]	E2.3.1.9, atoB	acetyl-CoA C-acetyltransferase	05CHU@bactNOG,0QHZJ@gproNOG,16PGG@proNOG,COG0183@NOG	Catalyzes the final step of fatty acid oxidation in which acetyl-CoA is released and the CoA ester of a fatty acid two carbons shorter is formed (By similarity)			SZUA-1235_5:c(11617..12921)	Beta-ketoadipyl-CoA thiolase	K00626	K00626		K00626	K07823
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00087	K06445	[EC:1.3.99.-]	fadE	acyl-CoA dehydrogenase	07QPN@bactNOG,0B7DV@bproNOG,16QXT@proNOG,COG1960@NOG	acyl-CoA dehydrogenase			SZUA-1235_5:c(12954..15437)	Acyl-coenzyme A dehydrogenase	K06445	K06445	K06445	K06445	K22027
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00088					08N5D@bactNOG,0QRKD@gproNOG,119YV@NOG,173KT@proNOG	Orthopoxvirus protein of unknown function (DUF830)			SZUA-1235_5:c(15440..16324)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00089									SZUA-1235_5:c(16644..16841)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00090									SZUA-1235_6:c(35..217)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00091	K02237		comEA	competence protein ComEA	083P1@bactNOG,0QVRQ@gproNOG,17KU8@proNOG,COG1555@NOG	competence protein ComEA helix-hairpin-helix repeat protein			SZUA-1235_6:c(405..686)	hypothetical protein	K02237	K02237	K02237	K02237	K02237
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00092	K01591	[EC:4.1.1.23]	pyrF	orotidine-5'-phosphate decarboxylase	06EG9@bactNOG,0B8RS@bproNOG,16QWC@proNOG,COG0284@NOG	Catalyzes the decarboxylation of orotidine 5'- monophosphate (OMP) to uridine 5'-monophosphate (UMP) (By similarity)			SZUA-1235_6:c(884..1582)	Orotidine 5'-phosphate decarboxylase	K01591	K01591	K01591	K01591	K01591
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00093	K19804		lapB	lipopolysaccharide assembly protein B	05CFV@bactNOG,0QI4I@gproNOG,16PW7@proNOG,COG2956@NOG	Tetratricopeptide repeat protein			SZUA-1235_6:c(1582..2754)	Lipopolysaccharide assembly protein B	K19804	K19804		K19804	K19804
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00094	K05788		ihfB, himD	integration host factor subunit beta	080YA@bactNOG,0QTM2@gproNOG,17FAZ@proNOG,COG0776@NOG	This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control (By similarity)			SZUA-1235_6:c(2817..3176)	Integration host factor subunit beta	K05788	K05788	K05788	K03530	K05788
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00095	K02945		RP-S1, rpsA	small subunit ribosomal protein S1	05CAV@bactNOG,0QI29@gproNOG,16QAF@proNOG,COG0539@NOG	thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence (By similarity)			SZUA-1235_6:c(3350..5020)	30S ribosomal protein S1	K02945	K02945	K02945	K02945	K02945
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00096	K00945	[EC:2.7.4.25]	cmk	CMP/dCMP kinase	05CAT@bactNOG,0QJCX@gproNOG,16QJ6@proNOG,COG0283@NOG	cytidine monophosphate kinase			SZUA-1235_6:c(5158..5853)	Cytidylate kinase	K00945	K00945		K00945	K13799
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00097	K00800	[EC:2.5.1.19]	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	05CMY@bactNOG,0QIQK@gproNOG,16Q0F@proNOG,COG0128@NOG	5-enolpyruvylshikimate-3-phosphate synthase			SZUA-1235_6:c(5876..7204)	3-phosphoshikimate 1-carboxyvinyltransferase	K00800	K00800	K00800	K00210	K00800
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00098	K04517	[EC:1.3.1.12]	tyrA2	prephenate dehydrogenase	05EVN@bactNOG,0QK0X@gproNOG,16SIV@proNOG,COG0287@NOG	Prephenate dehydrogenase			SZUA-1235_6:c(7282..8142)	Cyclohexadienyl dehydrogenase	K04517	K04517		K00210	K15226
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00099	K00817	[EC:2.6.1.9]	hisC	histidinol-phosphate aminotransferase	05CIH@bactNOG,0QJU4@gproNOG,16QKB@proNOG,COG0079@NOG	imidazole acetol-phosphate transaminase			SZUA-1235_6:c(8139..9254)	Histidinol-phosphate aminotransferase	K00817	K00817		K00817	K04720
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00100	K14170	[EC:5.4.99.5][EC:4.2.1.51]	pheA	chorismate mutase / prephenate dehydratase	05CQC@bactNOG,0QJYK@gproNOG,16QSN@proNOG,COG0077@NOG,COG1605@NOG	chorismate mutase			SZUA-1235_6:c(9251..10366)	P-protein	K14170	K14170	K14170	K01713	K14187
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00101	K00058	[EC:1.1.1.95][EC:1.1.1.399]	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	08JQ1@bactNOG,0RB1W@gproNOG,173EN@proNOG,COG0111@NOG	d-3-phosphoglycerate dehydrogenase			SZUA-1235_6:c(10338..11501)	D-3-phosphoglycerate dehydrogenase	K00058	K00058	K00058	K00058	K16843
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00102	K00831	[EC:2.6.1.52]	serC, PSAT1	phosphoserine aminotransferase	07QM1@bactNOG,COG1932@NOG	Catalyzes the reversible conversion of 3- phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4- phosphonooxybutanoate to phosphohydroxythreonine (By similarity)			SZUA-1235_6:c(11512..12594)	Phosphoserine aminotransferase	K00831	K00831	K00831	K00831	K00831
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00103	K02469	[EC:5.99.1.3]	gyrA	DNA gyrase subunit A	05C24@bactNOG,0QINI@gproNOG,16QAH@proNOG,COG0188@NOG	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)			SZUA-1235_6:c(12672..15284)	DNA gyrase subunit A	K02469	K02469	K02469	K02469	K03164
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00104	K08963	[EC:5.3.1.23]	mtnA	methylthioribose-1-phosphate isomerase	05C35@bactNOG,0QIGC@gproNOG,16S7Y@proNOG,COG0182@NOG	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1-P) (By similarity)			SZUA-1235_6:c(15728..16762)	Methylthioribose-1-phosphate isomerase	K08963	K08963	K08963	K08963	K03239
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00105					05ZZH@bactNOG,12AKV@NOG,17KIV@proNOG	Cytosolic protein			SZUA-1235_7:132..446	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00106									SZUA-1235_7:461..796	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00107	K17686	[EC:3.6.3.54]	copA, ATP7	Cu+-exporting ATPase	05C59@bactNOG,0QHYD@gproNOG,16PUR@proNOG,COG2217@NOG	p-type atpase			SZUA-1235_7:c(906..3179)	Copper-exporting P-type ATPase	K17686	K17686		K01533	K21887
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00108									SZUA-1235_7:3322..3519	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00109	K07090		K07090	uncharacterized protein	01YTG@aproNOG,0901S@bactNOG,11PJV@NOG,17DV8@proNOG	Sulfite exporter TauE/SafE			SZUA-1235_7:3546..4307	hypothetical protein	K07090	K07090		K07090	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00110	K03893		arsB	arsenical pump membrane protein	05DN9@bactNOG,0QK1U@gproNOG,16R7M@proNOG,COG1055@NOG	Na H antiporter			SZUA-1235_7:4514..6049	Na(+)/H(+) antiporter NhaD	K03893				K03893
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00111									SZUA-1235_7:6176..6463	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00112									SZUA-1235_7:c(6470..6796)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00113	K03564	[EC:1.11.1.15]	BCP, PRXQ, DOT5	peroxiredoxin Q/BCP	08YXY@bactNOG,0QSG3@gproNOG,17CDP@proNOG,COG1225@NOG	alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen			SZUA-1235_7:c(7002..7472)	Putative peroxiredoxin bcp	K03564	K03564	K03564	K03564	K03564
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00114					067U2@bactNOG,17REX@proNOG,COG3197@NOG	cytochrome oxidase maturation protein cbb3-type			SZUA-1235_7:c(7475..7663)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00115	K01533	[EC:3.6.3.4]	copB	Cu2+-exporting ATPase	05C59@bactNOG,0B7NS@bproNOG,16PUR@proNOG,COG2217@NOG	heavy metal translocating p-type ATPase			SZUA-1235_7:c(7664..10099)	putative copper-importing P-type ATPase A	K01533	K01533		K01533	K21887
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00116					069YE@bactNOG,0QHXC@gproNOG,11H2T@NOG,16SX8@proNOG	inner membrane protein yohC			SZUA-1235_7:10319..10921	Inner membrane protein YohC					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00117	K00404	[EC:1.9.3.1]	ccoN	cytochrome c oxidase cbb3-type subunit I	05EUH@bactNOG,0QHTH@gproNOG,16PI4@proNOG,COG3278@NOG	cytochrome c oxidase, cbb3-type subunit I			SZUA-1235_7:10937..12358	Cbb3-type cytochrome c oxidase subunit CcoN1	K00404	K00404	K00404	K00404	K15862
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00118	K00405		ccoO	cytochrome c oxidase cbb3-type subunit II	05DUJ@bactNOG,0B764@bproNOG,16RP5@proNOG,COG2993@NOG	cbb3-type cytochrome c oxidase subunit II			SZUA-1235_7:12369..12983	hypothetical protein	K00405	K00405	K00405	K00405	K15862
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00119	K00407		ccoQ	cytochrome c oxidase cbb3-type subunit IV					SZUA-1235_7:12988..13170	hypothetical protein	K00407	K00407			
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00120	K00406		ccoP	cytochrome c oxidase cbb3-type subunit III	05D6P@bactNOG,0B8BI@bproNOG,16QAQ@proNOG,COG2010@NOG	C-type cytochrome. Part of the cbb3-type cytochrome c oxidase complex (By similarity)			SZUA-1235_7:13163..14068	Cbb3-type cytochrome c oxidase subunit CcoP2	K00406	K00406		K00406	K20936
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00121									SZUA-1235_7:14071..14355	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00122	K21559		cprC	NosR/NirI family transcriptional regulator, putative reductive dehalogenation system regulator	05C58@bactNOG,0QI0B@gproNOG,16PGV@proNOG,COG0348@NOG	cytochrome C oxidase accessory protein CcoG			SZUA-1235_7:14363..15781	hypothetical protein	K21559				K21559
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00123	K09926		K09926	uncharacterized protein	05QQV@bactNOG,0BFTT@bproNOG,17GVA@proNOG,COG3198@NOG	FixH			SZUA-1235_7:15778..16299	hypothetical protein	K09926	K09926		K09926	K09926
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00124	K09792		K09792	uncharacterized protein	08Z2G@bactNOG,0QSIS@gproNOG,17CM8@proNOG,COG2836@NOG	membrane			SZUA-1235_7:16312..17019	hypothetical protein	K09792	K09792		K09792	K09792
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00125					08Q00@bactNOG,16RHA@proNOG,COG5514@NOG	Domain of unknown function (DUF1794)			SZUA-1235_7:17064..17621	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00126									SZUA-1235_7:17638..17847	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00127	K09908		K09908	uncharacterized protein	061VN@bactNOG,0QVTD@gproNOG,17NSQ@proNOG,COG3105@NOG	Protein of unknown function (DUF1043)			SZUA-1235_7:c(17875..18423)	Inner membrane protein YhcB	K09908			K09908	K09908
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00128	K01939	[EC:6.3.4.4]	purA, ADSS	adenylosuccinate synthase	05C91@bactNOG,0QHTF@gproNOG,16PIX@proNOG,COG0104@NOG	Plays an important role in the de novo pathway of purine nucleotide biosynthesis			SZUA-1235_7:c(18443..19738)	Adenylosuccinate synthetase	K01939	K01939		K01939	K01939
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00129	K02502		hisZ	ATP phosphoribosyltransferase regulatory subunit	05C49@bactNOG,0QHYS@gproNOG,16PFW@proNOG,COG3705@NOG	Required for the first step of histidine biosynthesis. May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine (By similarity)			SZUA-1235_7:c(19787..20965)	ATP phosphoribosyltransferase regulatory subunit	K02502	K02502		K02502	K02502
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00130	K09937		K09937	uncharacterized protein	05VZB@bactNOG,0QW90@gproNOG,17K8B@proNOG,COG3242@NOG	Uncharacterized protein conserved in bacteria (DUF2065)			SZUA-1235_7:c(20965..21150)	hypothetical protein	K09937	K09937		K09937	K09937
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00131	K04087	[EC:3.4.-.-]	hflC	membrane protease subunit HflC	05EPW@bactNOG,0QHPX@gproNOG,16PBV@proNOG,COG0330@NOG	hflC protein			SZUA-1235_7:c(21182..22057)	Modulator of FtsH protease HflC	K04087	K04087		K04087	K17081
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00132	K04088	[EC:3.4.-.-]	hflK	membrane protease subunit HflK	07QJR@bactNOG,0QHX3@gproNOG,16PEW@proNOG,COG0330@NOG	HflK protein			SZUA-1235_7:c(22057..23274)	Modulator of FtsH protease HflK	K04088	K04088	K04088	K04088	K17081
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00133	K03665		hflX	GTPase	05C1N@bactNOG,0QI5T@gproNOG,16PKC@proNOG,COG2262@NOG	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis (By similarity)			SZUA-1235_7:c(23362..24561)	GTPase HflX	K03665	K03665		K03665	K03665
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00134	K03666		hfq	host factor-I protein	05KW8@bactNOG,0QTQM@gproNOG,17FDM@proNOG,COG1923@NOG	RNA chaperone that binds small regulatory RNA (sRNAs) and mRNAs to facilitate mRNA translational regulation in response to envelope stress, environmental stress and changes in metabolite concentrations. Also binds with high specificity to tRNAs (By similarity)			SZUA-1235_7:c(24684..24944)	RNA-binding protein Hfq	K03666	K03666	K03666	K03666	K03666
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00135	K00791	[EC:2.5.1.75]	miaA, TRIT1	tRNA dimethylallyltransferase	05DKX@bactNOG,0QIF0@gproNOG,16S0F@proNOG,COG0324@NOG	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A) (By similarity)			SZUA-1235_7:c(25062..26006)	tRNA dimethylallyltransferase	K00791	K00791		K00791	K00791
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00136	K03572		mutL	DNA mismatch repair protein MutL	05DC6@bactNOG,0QHWQ@gproNOG,16R81@proNOG,COG0323@NOG	This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex (By similarity)			SZUA-1235_7:c(26423..28228)	DNA mismatch repair protein MutL	K03572	K03572	K03572	K03572	K03572
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00137	K07283		ydiY	putative salt-induced outer membrane protein	08NE3@bactNOG,0QIF6@gproNOG,16RRQ@proNOG,COG3137@NOG	Salt-induced outer membrane protein			SZUA-1235_7:c(28354..29082)	hypothetical protein	K07283		K07283	K07283	K07283
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00138	K01448	[EC:3.5.1.28]	amiABC	N-acetylmuramoyl-L-alanine amidase	05C5C@bactNOG,0QIJM@gproNOG,16PWY@proNOG,COG0860@NOG	N-acetylmuramoyl-L-alanine amidase			SZUA-1235_7:c(29210..30550)	N-acetylmuramoyl-L-alanine amidase AmiC	K01448	K01448		K01448	K01448
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00139	K06925		tsaE	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	05K8N@bactNOG,0QS7U@gproNOG,17C3J@proNOG,COG0802@NOG	UPF0079 ATP-binding protein			SZUA-1235_7:c(30637..31104)	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	K06925	K06925		K06925	K06925
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00140	K17758	[EC:4.2.1.136]	nnr	ADP-dependent NAD(P)H-hydrate dehydratase	05DR1@bactNOG,0QJJM@gproNOG,16QCV@proNOG,COG0062@NOG,COG0063@NOG	Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration (By similarity)			SZUA-1235_7:c(31101..32591)	Bifunctional NAD(P)H-hydrate repair enzyme Nnr	K17758		K17758	K17758	K17758
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00141	K18979	[EC:1.17.99.6]	queG	epoxyqueuosine reductase	05EH2@bactNOG,0QHRW@gproNOG,16PZS@proNOG,COG1600@NOG	Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr) (By similarity)			SZUA-1235_7:32662..33747	Epoxyqueuosine reductase	K18979	K18979		K00567	K18979
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00142	K13288	[EC:3.1.-.-]	orn, REX2, REXO2	oligoribonuclease	08RBP@bactNOG,0B9TB@bproNOG,177TF@proNOG,COG1949@NOG	3'-to-5' exoribonuclease specific for small oligoribonucleotides (By similarity)			SZUA-1235_7:c(33867..34412)	Oligoribonuclease	K13288	K13288		K13288	K13288
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00143	K06013	[EC:3.4.24.84]	STE24	STE24 endopeptidase	05C2Y@bactNOG,0QICW@gproNOG,16T9H@proNOG,COG0501@NOG	Ste24 endopeptidase (EC 3.4.24.84)			SZUA-1235_7:34468..35721	Protease HtpX	K06013	K06013		K06013	K07387
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00144					069R3@bactNOG,0QY74@gproNOG,1297E@NOG,17UV3@proNOG				SZUA-1235_7:35739..36035	Green heme protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00145									SZUA-1235_7:c(36078..36263)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00146					05ETC@bactNOG,0GBPF@delNOG,0HD6N@dproNOG,0XRH1@NOG,16SFN@proNOG				SZUA-1235_7:36392..39655	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00147									SZUA-1235_7:c(39641..39790)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00148									SZUA-1235_7:c(39947..40117)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00150	K03752	[EC:2.7.7.77]	mobA	molybdenum cofactor guanylyltransferase	05C6R@bactNOG,0QN04@gproNOG,17C4D@proNOG,COG0746@NOG	Transfers a GMP moiety from GTP to Mo-molybdopterin (Mo- MPT) cofactor (Moco or molybdenum cofactor) to form Mo- molybdopterin guanine dinucleotide (Mo-MGD) cofactor (By similarity)			SZUA-1235_8:c(365..937)	Molybdenum cofactor guanylyltransferase	K03752	K03752	K03752	K02379	K13818
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00151	K01090	[EC:3.1.3.16]	E3.1.3.16	protein phosphatase	07SGC@bactNOG,0QI0U@gproNOG,16S8Y@proNOG,COG0515@NOG,COG0631@NOG	serine (threonine) protein kinase			SZUA-1235_8:c(940..2655)	Serine/threonine-protein kinase PrkC	K01090			K01090	K20074
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00152	K02575		NRT, narK, nrtP, nasA	MFS transporter, NNP family, nitrate/nitrite transporter	07R3J@bactNOG,0QM4K@gproNOG,16UX5@proNOG,COG2223@NOG	transporter			SZUA-1235_8:c(2718..4178)	Nitrate/nitrite transporter NrtP	K02575	K02575		K02575	K10850
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00153	K00362	[EC:1.7.1.15]	nirB	nitrite reductase (NADH) large subunit	07QZF@bactNOG,0QIE3@gproNOG,16QJD@proNOG,COG1251@NOG	Nitrite reductase (NAD(P)H) large subunit			SZUA-1235_8:4619..7054	Nitrite reductase [NAD(P)H]	K00362	K00362	K00362	K00360	K05297
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00154	K00363	[EC:1.7.1.15]	nirD	nitrite reductase (NADH) small subunit	05KH3@bactNOG,0QUCM@gproNOG,17FCT@proNOG,COG2146@NOG	nitrite reductase NADPH (small subunit)			SZUA-1235_8:7059..7391	Assimilatory nitrite reductase [NAD(P)H] small subunit	K00363	K00363	K00363	K00363	K18248
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00155	K00367	[EC:1.7.7.2]	narB	ferredoxin-nitrate reductase	07QIW@bactNOG,0QHXE@gproNOG,16PDQ@proNOG,COG0243@NOG	Catalytic subunit of the periplasmic nitrate reductase (NAP). Only expressed at high levels during aerobic growth. NapAB complex receives electrons from the membrane-anchored tetraheme protein NapC, thus allowing electron flow between membrane and periplasm. Essential function for nitrate assimilation and may have a role in anaerobic metabolism (By similarity)			SZUA-1235_8:7404..9584	Nitrate reductase	K00367			K00367	K21307
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00156	K04014		nrfC	protein NrfC	05QA4@bactNOG,0QIXJ@gproNOG,16QRY@proNOG,COG0437@NOG	4Fe-4S ferredoxin iron-sulfur binding domain protein			SZUA-1235_8:9584..11425	Anaerobic dimethyl sulfoxide reductase chain B	K04014			K04014	K21308
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00157	K11179	[EC:2.8.1.-]	tusE, dsrC	tRNA 2-thiouridine synthesizing protein E	COG2920@NOG	Part of a sulfur-relay system (By similarity)			SZUA-1235_8:11450..11791	Sulfurtransferase TusE	K11179	K11179		K11179	K11179
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00158	K03639	[EC:4.1.99.22]	moaA, CNX2	GTP 3',8-cyclase	05CM1@bactNOG,0QJED@gproNOG,16PFN@proNOG,COG2896@NOG	Catalyzes, together with MoaC, the conversion of 5'-GTP to cyclic pyranopterin monophosphate (cPMP or molybdopterin precursor Z) (By similarity)			SZUA-1235_8:11850..12833	GTP 3',8-cyclase	K03639	K03639		K03639	K20967
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00159	K03638	[EC:2.7.7.75]	moaB	molybdopterin adenylyltransferase	08RIR@bactNOG,0FMTA@cyaNOG,COG0521@NOG	Molybdenum cofactor biosynthesis protein			SZUA-1235_8:12840..13355	Molybdenum cofactor biosynthesis protein B	K03638	K03638		K03638	K03831
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00160	K03750	[EC:2.10.1.1]	moeA	molybdopterin molybdotransferase	05CVM@bactNOG,0B8FU@bproNOG,16PHA@proNOG,COG0303@NOG	Molybdenum cofactor synthesis domain protein			SZUA-1235_8:13357..14604	Molybdopterin molybdenumtransferase	K03750	K03750		K00963	K03750
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00161	K03637	[EC:4.6.1.17]	moaC, CNX3	cyclic pyranopterin monophosphate synthase	08YXW@bactNOG,0QJN0@gproNOG,179NF@proNOG,COG0315@NOG	Together with MoaA, is involved in the conversion of 5'- GTP to cyclic pyranopterin monophosphate (cPMP or molybdopterin precursor Z) (By similarity)			SZUA-1235_8:14601..15089	Cyclic pyranopterin monophosphate synthase	K03637	K03637	K03637	K03637	K20967
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00162	K03636		moaD, cysO	sulfur-carrier protein	05M00@bactNOG,0BEXY@bproNOG,17GA2@proNOG,COG1977@NOG	Molybdopterin converting factor subunit 1			SZUA-1235_8:15091..15342	Molybdopterin synthase sulfur carrier subunit	K03636	K03636		K03636	K21142
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00163	K03635	[EC:2.8.1.12]	MOCS2B, moaE	molybdopterin synthase catalytic subunit	08ZAF@bactNOG,0BCGE@bproNOG,17CF9@proNOG,COG0314@NOG	Molybdopterin			SZUA-1235_8:15343..15756	Molybdopterin synthase catalytic subunit	K03635	K03635		K03635	K21142
