#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00001	K01622	[EC:4.1.2.13][EC:3.1.3.11]	K01622	fructose 1,6-bisphosphate aldolase/phosphatase	02F0N@aquNOG,07NFR@bactNOG,COG1980@NOG	Fructose-1,6-bisphosphatase			SZUA-1519_1:c(9..1154)	Fructose-1,6-bisphosphate aldolase/phosphatase	K01622	K01622		K01622	K01622
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00087	K02650		pilA	type IV pilus assembly protein PilA	02G0V@aquNOG,064BH@bactNOG,1284V@NOG	Fimbrial protein			SZUA-1519_4:c(33083..33658)	Fimbrial protein	K02650			K02650	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00088	K11784	[EC:1.21.98.1]	mqnC	cyclic dehypoxanthinyl futalosine synthase	02F2G@aquNOG,05DKF@bactNOG,COG1060@NOG	radical SAM domain protein			SZUA-1519_4:c(33716..34807)	Cyclic dehypoxanthine futalosine synthase	K11784	K11784		K11784	K18285
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00089	K03218	[EC:2.1.1.185]	rlmB	23S rRNA (guanosine2251-2'-O)-methyltransferase	02EVJ@aquNOG,05C2N@bactNOG,COG0566@NOG	RNA methyltransferase, TrmH family, group 3			SZUA-1519_4:34898..35632	Putative TrmH family tRNA/rRNA methyltransferase	K03218	K03218		K03218	K21514
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00090	K00278	[EC:1.4.3.16]	nadB	L-aspartate oxidase	02GTK@aquNOG,08IYU@bactNOG,COG0029@NOG	L-aspartate oxidase			SZUA-1519_4:35650..37194	L-aspartate oxidase	K00278	K00278	K00278	K00278	K00278
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00091	K00772	[EC:2.4.2.28]	mtaP, MTAP	5'-methylthioadenosine phosphorylase	02F43@aquNOG,05CB1@bactNOG,COG0005@NOG	Purine nucleoside phosphorylase which is highly specific for 6-oxopurine nucleosides. Cleaves guanosine or inosine to respective bases and sugar-1-phosphate molecules. Involved in purine salvage (By similarity)			SZUA-1519_4:37208..38047	S-methyl-5'-thioinosine phosphorylase	K00772	K00772		K00772	K19696
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00092					05P3W@bactNOG,11VGQ@NOG				SZUA-1519_4:38088..38444	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00093	K03386	[EC:1.11.1.15]	PRDX2_4, ahpC	peroxiredoxin (alkyl hydroperoxide reductase subunit C)	0KRJP@eurNOG,0WPYX@methNOG,COG0450@NOG,arCOG00312@arNOG	peroxiredoxin (EC 1.11.1.15)			SZUA-1519_4:38499..39362	Alkyl hydroperoxide reductase C	K03386	K03386		K03386	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00094	K07301		yrbG	cation:H+ antiporter	07RBN@bactNOG,COG0530@NOG	Sodium calcium exchanger membrane region			SZUA-1519_4:39382..40353	hypothetical protein	K07301	K07301		K07301	K07301
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00095	K02434	[EC:6.3.5.6][EC:6.3.5.7]	gatB, PET112	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B	02EQT@aquNOG,05CHT@bactNOG,COG0064@NOG	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)			SZUA-1519_4:40366..41802	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	K02434	K02434	K02434	K02434	K02434
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00096	K02393		flgH	flagellar L-ring protein precursor FlgH	02FI1@aquNOG,07W7W@bactNOG,COG2063@NOG	Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation (By similarity)			SZUA-1519_5:c(35..736)	Flagellar L-ring protein	K02393	K02393		K02393	K02393
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00097	K02386		flgA	flagella basal body P-ring formation protein FlgA	02FU8@aquNOG,067MX@bactNOG,12D9P@NOG	flagella basal body P-ring formation protein FlgA			SZUA-1519_5:c(705..1376)	hypothetical protein	K02386			K02386	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00098	K02392		flgG	flagellar basal-body rod protein FlgG	02EUM@aquNOG,05CGA@bactNOG,COG4786@NOG	flagellar basal-body rod protein FlgG			SZUA-1519_5:c(1339..2148)	Flagellar basal-body rod protein FlgG	K02392	K02392	K02392	K02392	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00099					0KT75@eurNOG,1CEN7@thermNOG,COG0500@NOG,arCOG01773@arNOG,arCOG07142@arNOG	ubiE/COQ5 methyltransferase family			SZUA-1519_5:2162..2794	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00100	K02108		ATPF0A, atpB	F-type H+-transporting ATPase subunit a	02EUA@aquNOG,05EE4@bactNOG,COG0356@NOG	it plays a direct role in the translocation of protons across the membrane (By similarity)			SZUA-1519_5:2882..3544	ATP synthase subunit a	K02108	K02108		K02108	K02126
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00101	K02110		ATPF0C, atpE	F-type H+-transporting ATPase subunit c	02G0C@aquNOG,08327@bactNOG,0ZXH0@NOG	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)			SZUA-1519_5:4056..4331	ATP synthase subunit c	K02110	K02110		K02110	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00102	K00969	[EC:2.7.7.18]	nadD	nicotinate-nucleotide adenylyltransferase	02FMQ@aquNOG,08Z1W@bactNOG,COG1057@NOG	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD) (By similarity)			SZUA-1519_5:c(4550..5134)	Nicotinate-nucleotide adenylyltransferase	K00969	K00969	K00969	K00969	K00969
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00103	K01808	[EC:5.3.1.6]	rpiB	ribose 5-phosphate isomerase B	02FKA@aquNOG,08YZG@bactNOG,COG0698@NOG	ribose 5-phosphate isomerase B			SZUA-1519_5:5155..5610	Ribose-5-phosphate isomerase B	K01808	K01808	K01808	K01808	K21911
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00104	K01961	[EC:6.4.1.2][EC:6.3.4.14]	accC	acetyl-CoA carboxylase, biotin carboxylase subunit	02EZV@aquNOG,05CER@bactNOG,COG0439@NOG	acetyl-CoA carboxylase, biotin carboxylase			SZUA-1519_5:5642..7006	Biotin carboxylase	K01961	K01961		K01959	K20141
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00105	K03186	[EC:2.5.1.129]	ubiX, bsdB, PAD1	flavin prenyltransferase	02FGC@aquNOG,08UMA@bactNOG,COG0163@NOG	3-octaprenyl-4-hydroxybenzoate carboxy-lyase			SZUA-1519_5:c(7003..7581)	Flavin prenyltransferase UbiX	K03186	K03186		K03186	K12468
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00106	K00677	[EC:2.3.1.129]	lpxA	UDP-N-acetylglucosamine acyltransferase	02EWQ@aquNOG,05DAF@bactNOG,COG1043@NOG	involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)			SZUA-1519_5:7626..8465	Acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase	K00677	K00677		K00677	K00677
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00107	K02849	[EC:2.4.-.-]	waaQ, rfaQ	heptosyltransferase III	02F7S@aquNOG,05KMM@bactNOG,COG0859@NOG	Glycosyltransferase family 9 (heptosyltransferase)			SZUA-1519_5:8455..9264	Lipopolysaccharide core heptosyltransferase RfaQ	K02849			K02849	K12982
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00108					02GKF@aquNOG,08FHB@bactNOG,10PEF@NOG				SZUA-1519_5:9271..9597	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00109	K12339	[EC:2.5.1.47]	cysM	cysteine synthase B	02ERP@aquNOG,05C6T@bactNOG,COG0031@NOG	cysteine synthase			SZUA-1519_5:9597..10532	Cysteine synthase B	K12339	K12339		K01738	K21949
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00110					02GB3@aquNOG,08FC3@bactNOG,10PJA@NOG				SZUA-1519_5:10577..11107	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00111					02FWW@aquNOG,065IR@bactNOG,12BK1@NOG				SZUA-1519_5:11181..11522	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00112	K06176	[EC:5.4.99.27]	truD, PUS7	tRNA pseudouridine13 synthase	02EV5@aquNOG,06NZV@bactNOG,COG0585@NOG	Responsible for synthesis of pseudouridine from uracil- 13 in transfer RNAs (By similarity)			SZUA-1519_5:11535..12683	tRNA pseudouridine synthase D	K06176	K06176		K06176	K06176
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00113	K01929	[EC:6.3.2.10]	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	02ESA@aquNOG,07EES@bactNOG,COG0770@NOG	Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein (By similarity)			SZUA-1519_5:c(12657..14012)	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	K01929	K01929		K01929	K21612
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00114	K03809	[EC:1.6.5.2]	wrbA	NAD(P)H dehydrogenase (quinone)	02GDF@aquNOG,07ZS6@bactNOG,COG0655@NOG	Flavodoxin			SZUA-1519_5:c(14061..14564)	Flavodoxin	K03809	K03809		K03809	K20156
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00115					02FJS@aquNOG,07ZMT@bactNOG,0ZWMS@NOG				SZUA-1519_5:14616..15389	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00116	K02495	[EC:1.3.98.3]	hemN, hemZ	oxygen-independent coproporphyrinogen III oxidase	02ENQ@aquNOG,05D4P@bactNOG,COG0635@NOG	Oxygen-independent coproporphyrinogen III oxidase			SZUA-1519_5:15423..16793	Oxygen-independent coproporphyrinogen III oxidase	K02495	K02495		K00228	K21936
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00117	K07397		yhfA	putative redox protein	08UKZ@bactNOG,COG1765@NOG	OsmC family			SZUA-1519_5:16819..17256	Protein YhfA	K07397	K07397		K07397	K07397
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00118	K02069		ABC.X2.P	putative ABC transport system permease protein	02FFF@aquNOG,05C4B@bactNOG,COG0390@NOG	Uncharacterised protein family (UPF0014)			SZUA-1519_5:c(17249..18022)	putative iron export permease protein FetB	K02069	K02069		K02069	K02069
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00119	K00995	[EC:2.7.8.5]	pgsA, PGS1	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase	02G12@aquNOG,05MHW@bactNOG,COG0558@NOG	CDP-alcohol phosphatidyltransferase			SZUA-1519_5:c(18062..18556)	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	K00995	K00995		K00995	K17884
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00120					02FE6@aquNOG,08RZ9@bactNOG,11GKN@NOG	PHP domain			SZUA-1519_5:18597..19607	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00121	K00012	[EC:1.1.1.22]	UGDH, ugd	UDPglucose 6-dehydrogenase	0KRJB@eurNOG,0WPWP@methNOG,COG1004@NOG,arCOG00253@arNOG	ec 1.1.1.22			SZUA-1519_5:c(19744..21075)	UDP-glucose 6-dehydrogenase	K00012	K00012		K00012	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00122					02FJZ@aquNOG,05BZU@bactNOG,0XNMH@NOG	Diguanylate cyclase			SZUA-1519_5:c(21090..21647)	Response regulator PleD					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00123	K12854	[EC:3.6.4.13]	SNRNP200, BRR2	pre-mRNA-splicing helicase BRR2	0801E@bactNOG,COG1345@NOG	Flagellar hook-associated 2 domain-containing protein			SZUA-1519_6:68..748	hypothetical protein	K12854	K12854		K02407	K02407
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00124					08KB7@bactNOG,0FR9W@cyaNOG,1000Q@NOG	Dynamin family			SZUA-1519_6:776..2404	Isoniazid-induced protein IniA					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00125	K07264	[EC:2.4.2.43]	arnT, pmrK	4-amino-4-deoxy-L-arabinose transferase	02EZW@aquNOG,05SA9@bactNOG,COG1807@NOG	glycosyl transferase family 39			SZUA-1519_6:c(2394..3932)	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase	K07264				K07264
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00126	K01520	[EC:3.6.1.23]	dut, DUT	dUTP pyrophosphatase	08Z1K@bactNOG,0EUJY@cloNOG,0NJVX@firmNOG,COG0756@NOG	This enzyme is involved in nucleotide metabolism it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA (By similarity)			SZUA-1519_6:3949..4380	Deoxyuridine 5'-triphosphate nucleotidohydrolase	K01520	K01520		K01520	K01520
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00127	K06178	[EC:5.4.99.22]	rluB	23S rRNA pseudouridine2605 synthase	02EP3@aquNOG,05FE9@bactNOG,COG1187@NOG	Pseudouridine synthase			SZUA-1519_6:c(4382..5104)	putative RNA pseudouridine synthase	K06178	K06178		K06178	K06183
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00128	K17218	[EC:1.8.5.4]	sqr	sulfide:quinone oxidoreductase	02EYT@aquNOG,07SA8@bactNOG,COG0446@NOG	FAD-dependent pyridine nucleotide-disulfide oxidoreductase			SZUA-1519_6:c(5143..6462)	Sulfide-quinone reductase	K17218	K17218		K17218	K21833
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00129	K00788	[EC:2.5.1.3]	thiE	thiamine-phosphate pyrophosphorylase	02FAT@aquNOG,08UV6@bactNOG,COG0352@NOG	Condenses 4-methyl-5-(beta-hydroxyethyl)thiazole monophosphate (THZ-P) and 2-methyl-4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-PP) to form thiamine monophosphate (TMP) (By similarity)			SZUA-1519_7:c(84..746)	Thiamine-phosphate synthase	K00788	K00788	K00788	K00788	K14154
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00130	K00962	[EC:2.7.7.8]	pnp, PNPT1	polyribonucleotide nucleotidyltransferase	02EZJ@aquNOG,05C62@bactNOG,COG1185@NOG	Involved in mRNA degradation. Hydrolyzes single-stranded polyribonucleotides processively in the 3'- to 5'-direction (By similarity)			SZUA-1519_7:846..3131	Polyribonucleotide nucleotidyltransferase	K00962	K00962		K00962	K00962
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00131	K11752	[EC:3.5.4.26][EC:1.1.1.193]	ribD	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase	02F0B@aquNOG,05D1W@bactNOG,COG0117@NOG,COG1985@NOG	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate (By similarity)			SZUA-1519_7:c(3124..4185)	Riboflavin biosynthesis protein RibD	K11752	K11752	K11752	K01498	K14654
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00132	K00602	[EC:2.1.2.3][EC:3.5.4.10]	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	02ET2@aquNOG,05DC1@bactNOG,COG0138@NOG	bifunctional purine biosynthesis protein PurH			SZUA-1519_7:4231..5754	Bifunctional purine biosynthesis protein PurH	K00602	K00602		K00602	K01492
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00133	K02437		gcvH, GCSH	glycine cleavage system H protein	02FMR@aquNOG,05KE9@bactNOG,COG0509@NOG	The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein (By similarity)			SZUA-1519_7:5795..6262	Glycine cleavage system H protein	K02437	K02437	K02437	K02437	K02437
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00134	K07038		K07038	inner membrane protein	02GIS@aquNOG,07JHW@bactNOG,0ZPBH@NOG	Predicted membrane-bound metal-dependent hydrolase (DUF457)			SZUA-1519_7:6266..6733	hypothetical protein	K07038	K07038		K07038	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00135	K00554	[EC:2.1.1.228]	trmD	tRNA (guanine37-N1)-methyltransferase	02EV4@aquNOG,05D6X@bactNOG,COG0336@NOG	Specifically methylates guanosine-37 in various tRNAs (By similarity)			SZUA-1519_7:c(6717..7511)	tRNA (guanine-N(1)-)-methyltransferase	K00554	K00554		K00554	K00554
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00136	K02034		ABC.PE.P1	peptide/nickel transport system permease protein	02F2P@aquNOG,05C2T@bactNOG,COG1173@NOG	binding-protein-dependent transport systems inner membrane component			SZUA-1519_7:7529..8512	Dipeptide transport system permease protein DppC	K02034	K02034		K02034	K19228
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00137	K03752	[EC:2.7.7.77]	mobA	molybdenum cofactor guanylyltransferase	05C6R@bactNOG,0EUHJ@cloNOG,0NM0W@firmNOG,COG0746@NOG	Transfers a GMP moiety from GTP to Mo-molybdopterin (Mo- MPT) cofactor (Moco or molybdenum cofactor) to form Mo- molybdopterin guanine dinucleotide (Mo-MGD) cofactor (By similarity)			SZUA-1519_8:206..787	putative molybdenum cofactor guanylyltransferase	K03752	K03752		K02379	K13818
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00138	K07176		K07176	putative serine/threonine protein kinase	02FPB@aquNOG,05JV6@bactNOG,COG2112@NOG	serine threonine protein kinase			SZUA-1519_8:777..1361	hypothetical protein	K07176			K07176	K07176
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00139	K14652	[EC:4.1.99.12][EC:3.5.4.25]	ribBA	3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II	02ESS@aquNOG,05C66@bactNOG,COG0108@NOG,COG0807@NOG	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate (By similarity)			SZUA-1519_8:c(1358..2584)	Riboflavin biosynthesis protein RibBA	K14652	K14652	K14652	K02858	K14652
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00140	K01867	[EC:6.1.1.2]	WARS, trpS	tryptophanyl-tRNA synthetase	02F21@aquNOG,05C31@bactNOG,COG0180@NOG	tryptophanyl-tRNA synthetase (EC 6.1.1.2)			SZUA-1519_8:2723..3919	Tryptophan--tRNA ligase	K01867	K01867		K01867	K01867
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00141					02F47@aquNOG,08WTY@bactNOG,COG4752@NOG	Pfam:DUF2168			SZUA-1519_8:c(3992..4579)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00142	K02474	[EC:1.1.1.-]	wbpO	UDP-N-acetyl-D-galactosamine dehydrogenase	02EKG@aquNOG,07QQG@bactNOG,COG0677@NOG	nucleotide sugar dehydrogenase			SZUA-1519_8:4625..5911	UDP-N-acetyl-D-glucosamine 6-dehydrogenase	K02474	K02474		K00066	K21331
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00143	K21004		pslK	polysaccharide biosynthesis protein PslK	05UGM@bactNOG,COG0728@NOG	MviN-like protein			SZUA-1519_8:5971..7275	putative lipid II flippase MurJ	K21004				K21004
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00144	K03593		mrp, NUBPL	ATP-binding protein involved in chromosome partitioning	02F4M@aquNOG,05D1F@bactNOG,COG0489@NOG	ATPase-like, ParA MinD			SZUA-1519_9:c(38..1111)	Iron-sulfur cluster carrier protein	K03593	K03593		K03593	K16692
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00145	K02067		mlaD, linM	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	02EU2@aquNOG,07KIA@bactNOG,COG1463@NOG	Mammalian cell entry related domain protein			SZUA-1519_9:c(1168..2643)	hypothetical protein	K02067	K02067		K02067	K02067
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00146	K00013	[EC:1.1.1.23]	hisD	histidinol dehydrogenase	02EXV@aquNOG,05CEK@bactNOG,COG0141@NOG	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine (By similarity)			SZUA-1519_9:2679..3962	Histidinol dehydrogenase	K00013	K00013	K00013	K00013	K15509
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00147	K01873	[EC:6.1.1.9]	VARS, valS	valyl-tRNA synthetase	02ET9@aquNOG,05CA4@bactNOG,COG0525@NOG	amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity)			SZUA-1519_9:3992..5233	Valine--tRNA ligase	K01873	K01873		K01873	K01873
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00148	K03711		fur, zur, furB	Fur family transcriptional regulator, ferric uptake regulator	02FNB@aquNOG,090R7@bactNOG,COG0735@NOG	Ferric uptake regulator, Fur family			SZUA-1519_9:c(5230..5712)	Peroxide operon regulator	K03711	K03711		K03711	K09826
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00149	K01689	[EC:4.2.1.11]	ENO, eno	enolase	02EUB@aquNOG,05C70@bactNOG,COG0148@NOG	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)			SZUA-1519_9:5724..7049	Enolase	K01689	K01689		K01689	K01689
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00150									SZUA-1519_9:7058..7357	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00151									SZUA-1519_9:c(7354..8073)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00152									SZUA-1519_9:8134..8664	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00153	K09774		lptA	lipopolysaccharide export system protein LptA	02FT5@aquNOG,083HM@bactNOG,COG1934@NOG	Lipopolysaccharide transport periplasmic protein LptA			SZUA-1519_9:8636..9109	Lipopolysaccharide export system protein LptA	K09774			K09774	K09774
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00154	K03787	[EC:3.1.3.5]	surE	5'-nucleotidase	02F51@aquNOG,05CV2@bactNOG,COG0496@NOG	Nucleotidase that shows phosphatase activity on nucleoside 5'-monophosphates (By similarity)			SZUA-1519_9:9081..9833	5'-nucleotidase SurE	K03787	K03787	K03787	K03787	K03787
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00155	K00820	[EC:2.6.1.16]	glmS, GFPT	glucosamine---fructose-6-phosphate aminotransferase (isomerizing)	02EWA@aquNOG,05C46@bactNOG,COG0449@NOG	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source (By similarity)			SZUA-1519_9:c(9868..11670)	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	K00820	K00820	K00820	K00820	K00820
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00156	K04759		feoB	ferrous iron transport protein B	05CE1@bactNOG,0GB1M@delNOG,0HBSW@dproNOG,16PTK@proNOG,COG0370@NOG	Ferrous iron transport protein B			SZUA-1519_9:c(11680..13833)	Fe(2+) transporter FeoB	K04759	K04759		K04759	K04759
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00157	K07267		oprB	porin	05W4A@bactNOG,122T6@NOG	Carbohydrate-selective porin, OprB family			SZUA-1519_9:c(13905..14987)	hypothetical protein	K07267			K07267	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00158	K01687	[EC:4.2.1.9]	ilvD	dihydroxy-acid dehydratase	02F31@aquNOG,05C01@bactNOG,COG0129@NOG	dihydroxy-acid dehydratase (EC 4.2.1.9)			SZUA-1519_10:228..1925	Dihydroxy-acid dehydratase	K01687	K01687		K01687	K13875
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00159	K01902	[EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit	02F07@aquNOG,05CH8@bactNOG,COG0074@NOG	Succinyl-CoA ligase ADP-forming subunit alpha			SZUA-1519_10:c(1976..2896)	Succinate--CoA ligase [ADP-forming] subunit alpha	K01902	K01902	K01902	K01902	K02381
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00160									SZUA-1519_10:c(2916..3476)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00161	K01903	[EC:6.2.1.5]	sucC	succinyl-CoA synthetase beta subunit	02EQX@aquNOG,05CMV@bactNOG,COG0045@NOG	succinyl-CoA synthetase subunit beta			SZUA-1519_10:c(3489..4655)	Succinate--CoA ligase [ADP-forming] subunit beta	K01903	K01903		K01903	K01903
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00162	K11782	[EC:4.2.1.151]	mqnA	chorismate dehydratase	02FQP@aquNOG,05EV6@bactNOG,COG1427@NOG	Pfam:DUF178			SZUA-1519_10:c(4736..5479)	Chorismate dehydratase	K11782	K11782		K11782	K11782
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00163	K12573	[EC:3.1.-.-]	rnr, vacB	ribonuclease R	02F4P@aquNOG,05C40@bactNOG,COG0557@NOG	3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs (By similarity)			SZUA-1519_10:c(5543..7675)	Ribonuclease R	K12573	K12573		K01147	K19782
