#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1430|SZUA-1430_00001					08R5T@bactNOG,11FHM@NOG	secreted protein			SZUA-1430_1:4..1179	Putative lipoprotein YerB					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00405	K00826	[EC:2.6.1.42]	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase	05CM2@bactNOG,0QIIG@gproNOG,16QQU@proNOG,COG0115@NOG	Branched-chain amino acid aminotransferase			SZUA-1430_153:1960..2601	Branched-chain-amino-acid aminotransferase	K00826	K00826		K00826	K03342
Candidatus_bacterium_SZUA-1430|SZUA-1430_00406									SZUA-1430_153:2642..2860	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00407	K07095		K07095	uncharacterized protein	0KTC7@eurNOG,COG0622@NOG,arCOG01141@arNOG	phosphodiesterase, mj0936 family			SZUA-1430_153:c(2896..3408)	hypothetical protein	K07095	K07095		K07095	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00408	K00826	[EC:2.6.1.42]	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase	05F0I@bactNOG,COG0115@NOG	Aminotransferase			SZUA-1430_153:c(3437..4273)	D-alanine aminotransferase	K00826	K00826		K00824	K03342
Candidatus_bacterium_SZUA-1430|SZUA-1430_00410									SZUA-1430_154:24..509	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00411									SZUA-1430_154:595..903	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00412					05NMN@bactNOG,11PDF@NOG,154TI@plaNOG	Inherit from bactNOG: Glycosyl transferase family protein			SZUA-1430_154:c(952..1377)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00413	K00786	[EC:2.4.-.-]	E2.4.-.-	glycosyltransferase	05CPK@bactNOG,COG0438@NOG	Glycosyl transferase (Group 1			SZUA-1430_155:128..1285	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	K00786			K00786	K21586
Candidatus_bacterium_SZUA-1430|SZUA-1430_00414									SZUA-1430_156:c(720..1544)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00415									SZUA-1430_157:c(32..895)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00416					07UAQ@bactNOG,0FP8D@cyaNOG,0YD0D@NOG	glycosyl transferase, family 2			SZUA-1430_157:c(892..1857)	UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00418	K00526	[EC:1.17.4.1]	E1.17.4.1B, nrdB, nrdF	ribonucleoside-diphosphate reductase beta chain	05E05@bactNOG,0QEVP@fusoNOG,COG0208@NOG	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)			SZUA-1430_158:c(23..1063)	Ribonucleoside-diphosphate reductase subunit beta	K00526	K00526	K00526	K00526	K00526
Candidatus_bacterium_SZUA-1430|SZUA-1430_00419	K00525	[EC:1.17.4.1]	E1.17.4.1A, nrdA, nrdE	ribonucleoside-diphosphate reductase alpha chain	02F08@aquNOG,05BZH@bactNOG,COG0209@NOG	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)			SZUA-1430_158:c(1104..2927)	Ribonucleoside-diphosphate reductase subunit alpha 1	K00525	K00525	K00525	K00525	K00525
Candidatus_bacterium_SZUA-1430|SZUA-1430_00420	K00412		CYTB, petB	ubiquinol-cytochrome c reductase cytochrome b subunit	05DJ5@bactNOG,0GAJ4@delNOG,0I2PQ@eproNOG,16Q8I@proNOG,COG1290@NOG	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)			SZUA-1430_159:85..1173	Cytochrome b	K00412	K00412		K00410	K15879
Candidatus_bacterium_SZUA-1430|SZUA-1430_00421	K00721	[EC:2.4.1.83]	DPM1	dolichol-phosphate mannosyltransferase	05E6A@bactNOG,0EU48@cloNOG,0NIVY@firmNOG,COG0463@NOG	Glycosyl transferase family 2			SZUA-1430_160:202..1149	Dodecaprenyl-phosphate galacturonate synthase	K00721			K00721	K21366
Candidatus_bacterium_SZUA-1430|SZUA-1430_00422	K00615	[EC:2.2.1.1]	E2.2.1.1, tktA, tktB	transketolase	05CV1@bactNOG,COG0021@NOG	Transketolase (EC 2.2.1.1)			SZUA-1430_161:c(590..1996)	1-deoxy-D-xylulose-5-phosphate synthase	K00615	K00615		K00615	K00615
Candidatus_bacterium_SZUA-1430|SZUA-1430_00423									SZUA-1430_162:159..377	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00424	K02035		ABC.PE.S	peptide/nickel transport system substrate-binding protein	080B0@bactNOG,0D1BX@chloNOG,COG0747@NOG	Extracellular solute-binding protein, family 5			SZUA-1430_162:417..2144	Oligopeptide-binding protein AppA	K02035	K02035		K02035	K19226
Candidatus_bacterium_SZUA-1430|SZUA-1430_00425	K03100	[EC:3.4.21.89]	lepB	signal peptidase I	05C3F@bactNOG,0EU6D@cloNOG,0NMG4@firmNOG,COG0681@NOG	signal peptidase i			SZUA-1430_163:c(725..1327)	Signal peptidase IB	K03100	K03100		K03100	K03100
Candidatus_bacterium_SZUA-1430|SZUA-1430_00426	K06885		K06885	uncharacterized protein	04T05@bacNOG,07TVP@bactNOG,0NG2A@firmNOG,COG1078@NOG	HD domain protein			SZUA-1430_163:c(1546..2349)	hypothetical protein	K06885	K06885	K06885	K06885	K06885
Candidatus_bacterium_SZUA-1430|SZUA-1430_00427									SZUA-1430_164:1104..1400	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00428	K06881	[EC:3.1.3.7][EC:3.1.13.3]	nrnA	bifunctional oligoribonuclease and PAP phosphatase NrnA	05SFS@bactNOG,0D26C@chloNOG,COG0618@NOG	Phosphoesterase RecJ domain protein			SZUA-1430_164:c(1449..2615)	Bifunctional oligoribonuclease and PAP phosphatase NrnA	K06881	K06881		K06881	K06881
Candidatus_bacterium_SZUA-1430|SZUA-1430_00429	K03657	[EC:3.6.4.12]	uvrD, pcrA	DNA helicase II / ATP-dependent DNA helicase PcrA	04RRB@bacNOG,05C4R@bactNOG,0NDZU@firmNOG,COG0210@NOG	ATP-dependent DNA helicase pcra			SZUA-1430_165:140..2290	ATP-dependent DNA helicase PcrA	K03657	K03657	K03657	K03657	K03658
Candidatus_bacterium_SZUA-1430|SZUA-1430_00430									SZUA-1430_166:149..637	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00431									SZUA-1430_166:641..1261	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00432									SZUA-1430_166:1266..1685	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00434	K11927	[EC:3.6.4.13]	rhlE	ATP-dependent RNA helicase RhlE	05C1J@bactNOG,099UK@bctoNOG,COG0513@NOG	DEAD DEAH box helicase			SZUA-1430_167:c(778..1527)	ATP-dependent RNA helicase CshA	K11927			K11927	K18692
Candidatus_bacterium_SZUA-1430|SZUA-1430_00435	K01358	[EC:3.4.21.92]	clpP, CLPP	ATP-dependent Clp protease, protease subunit	04RVT@bacNOG,05CCQ@bactNOG,0NECV@firmNOG,COG0740@NOG	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins (By similarity)			SZUA-1430_169:34..267	ATP-dependent Clp protease proteolytic subunit	K01358	K01358		K01358	K01358
Candidatus_bacterium_SZUA-1430|SZUA-1430_00436	K15633	[EC:5.4.2.12]	gpmI	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	05CJI@bactNOG,0D21V@chloNOG,COG0696@NOG	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)			SZUA-1430_169:c(357..1925)	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	K15633		K15633	K15633
Candidatus_bacterium_SZUA-1430|SZUA-1430_00437	K03596		lepA	GTP-binding protein LepA	05C4S@bactNOG,0NEFC@firmNOG,0X1Y2@negNOG,COG0481@NOG	Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner (By similarity)			SZUA-1430_170:84..1085	Elongation factor 4	K03596	K03596		K03596	K03596
Candidatus_bacterium_SZUA-1430|SZUA-1430_00438									SZUA-1430_170:c(1379..1894)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00439	K09760		rmuC	DNA recombination protein RmuC	05CGY@bactNOG,0QIN6@gproNOG,16PXF@proNOG,COG1322@NOG	DNA recombination protein			SZUA-1430_171:18..419	hypothetical protein	K09760	K09760		K09760	K09760
Candidatus_bacterium_SZUA-1430|SZUA-1430_00440									SZUA-1430_171:423..806	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00441					00WZ5@actNOG,06RZY@bactNOG,120HK@NOG				SZUA-1430_171:803..2491	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00442									SZUA-1430_172:18..155	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00443	K21603		ftcR	two-component system, OmpR family, flagellar system response regulator FtcR	05V83@bactNOG,17JD2@proNOG,COG0745@NOG	response regulator			SZUA-1430_172:172..561	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	K21603				K21603
Candidatus_bacterium_SZUA-1430|SZUA-1430_00444	K02669		pilT	twitching motility protein PilT	05CZX@bactNOG,0EQ1A@cloNOG,0NE6G@firmNOG,COG2805@NOG	twitching motility protein			SZUA-1430_172:611..1711	Twitching mobility protein	K02669	K02669		K02669	K02670
Candidatus_bacterium_SZUA-1430|SZUA-1430_00445	K02653		pilC	type IV pilus assembly protein PilC	05D7Q@bactNOG,0EP5V@cloNOG,0NDKA@firmNOG,COG1459@NOG	type ii secretion system			SZUA-1430_172:1795..2361	Type II secretion system protein F	K02653	K02653		K02653	K12278
Candidatus_bacterium_SZUA-1430|SZUA-1430_00446	K02653		pilC	type IV pilus assembly protein PilC	05D7Q@bactNOG,0EP5V@cloNOG,0NDKA@firmNOG,COG1459@NOG	type ii secretion system			SZUA-1430_172:2358..3002	Type II secretion system protein F	K02653	K02653		K02653	K12278
Candidatus_bacterium_SZUA-1430|SZUA-1430_00447					0754Z@bactNOG,0ZPMW@NOG				SZUA-1430_172:3241..3645	Fimbrial protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00448	K00970	[EC:2.7.7.19]	pcnB	poly(A) polymerase	05D4J@bactNOG,1AMMD@spiNOG,COG0617@NOG	polynucleotide adenylyltransferase			SZUA-1430_173:171..686	hypothetical protein	K00970			K00970	K00974
Candidatus_bacterium_SZUA-1430|SZUA-1430_00449									SZUA-1430_173:702..998	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00450									SZUA-1430_173:c(1109..1495)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00452	K02313		dnaA	chromosomal replication initiator protein	04RET@bacNOG,05CI4@bactNOG,0NDJT@firmNOG,COG0593@NOG	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity)			SZUA-1430_174:c(349..1806)	Chromosomal replication initiator protein DnaA	K02313	K02313		K02313	K10763
Candidatus_bacterium_SZUA-1430|SZUA-1430_00453	K21636	[EC:1.1.98.6]	nrdD	ribonucleoside-triphosphate reductase (formate)	05CJD@bactNOG,0B8H8@bproNOG,16T5N@proNOG,COG1328@NOG	anaerobic ribonucleoside-triphosphate reductase			SZUA-1430_175:52..1257	Anaerobic ribonucleoside-triphosphate reductase	K21636	K21636		K00527	K21636
Candidatus_bacterium_SZUA-1430|SZUA-1430_00454					067YY@bactNOG,0BH5V@bproNOG,0XUY1@NOG,17RJ3@proNOG	Inherit from proNOG: Ribonucleoside-triphosphate reductase			SZUA-1430_175:1373..1561	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00455	K04069	[EC:1.97.1.4]	pflA, pflC, pflE	pyruvate formate lyase activating enzyme	02FMD@aquNOG,07XB7@bactNOG,COG1180@NOG	anaerobic ribonucleoside-triphosphate reductase activating protein			SZUA-1430_175:1689..2441	7-carboxy-7-deazaguanine synthase	K04069	K04069		K04069	K20037
Candidatus_bacterium_SZUA-1430|SZUA-1430_00456	K03527	[EC:1.17.7.4]	ispH, lytB	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase	05C48@bactNOG,0B80D@bproNOG,16PFS@proNOG,COG0761@NOG	Converts 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) (By similarity)			SZUA-1430_176:164..814	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	K03527	K03527		K02945	K03527
Candidatus_bacterium_SZUA-1430|SZUA-1430_00457									SZUA-1430_176:1038..1187	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00458									SZUA-1430_176:1320..1451	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00459	K06402	[EC:3.4.24.-]	spoIVFB	stage IV sporulation protein FB	02FCS@aquNOG,08Z4T@bactNOG,COG1994@NOG	Peptidase M50			SZUA-1430_176:1526..2254	hypothetical protein	K06402				K06402
Candidatus_bacterium_SZUA-1430|SZUA-1430_00460	K06015	[EC:3.5.1.81]	E3.5.1.81	N-acyl-D-amino-acid deacylase	05FEN@bactNOG,0EQWJ@cloNOG,0NFGR@firmNOG,COG3653@NOG	deacylase			SZUA-1430_176:2275..3822	D-aminoacylase	K06015	K06015		K01465	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00461	K01662	[EC:2.2.1.7]	dxs	1-deoxy-D-xylulose-5-phosphate synthase					SZUA-1430_177:101..217	hypothetical protein	K01662	K01662			
Candidatus_bacterium_SZUA-1430|SZUA-1430_00462					0KTMI@eurNOG,0WMI5@methaNOG,COG1238@NOG,arCOG03118@arNOG	Inherit from arCOG: SNARE associated Golgi			SZUA-1430_177:210..764	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00463	K07043		K07043	uncharacterized protein	05MD7@bactNOG,0ETF1@cloNOG,0NJUF@firmNOG,COG1451@NOG	Metal-dependent hydrolase			SZUA-1430_177:839..1387	hypothetical protein	K07043	K07043	K07043	K07043	K07043
Candidatus_bacterium_SZUA-1430|SZUA-1430_00464									SZUA-1430_177:c(1390..1998)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00465	K00791	[EC:2.5.1.75]	miaA, TRIT1	tRNA dimethylallyltransferase	05DKX@bactNOG,0EPBR@cloNOG,0NE19@firmNOG,COG0324@NOG	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A) (By similarity)			SZUA-1430_178:c(14..964)	tRNA dimethylallyltransferase	K00791	K00791		K00791	K00791
Candidatus_bacterium_SZUA-1430|SZUA-1430_00466	K01868	[EC:6.1.1.3]	TARS, thrS	threonyl-tRNA synthetase	04RD7@bacNOG,05C22@bactNOG,0NDVB@firmNOG,COG0441@NOG	threonyl-tRNA synthetase			SZUA-1430_178:c(1181..2944)	Threonine--tRNA ligase 1	K01868	K01868	K01868	K01868	K01868
Candidatus_bacterium_SZUA-1430|SZUA-1430_00467	K02337	[EC:2.7.7.7]	dnaE	DNA polymerase III subunit alpha	05C0B@bactNOG,0ENTN@cloNOG,0NDIW@firmNOG,COG0587@NOG	DNA polymerase iii			SZUA-1430_178:c(3443..4270)	DNA polymerase III subunit alpha	K02337	K02337		K02337	K14162
Candidatus_bacterium_SZUA-1430|SZUA-1430_00468	K00980	[EC:2.7.7.39]	tagD	glycerol-3-phosphate cytidylyltransferase	0KTF3@eurNOG,COG0615@NOG,arCOG01222@arNOG	Catalyzes the transfer of the AMP portion of ATP to flavin mononucleotide (FMN) to produce flavin adenine dinucleotide (FAD) coenzyme (By similarity)			SZUA-1430_179:c(694..1098)	Glycerol-3-phosphate cytidylyltransferase	K00980			K00980	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00469	K01515	[EC:3.6.1.13]	nudF	ADP-ribose pyrophosphatase	04V5G@bacNOG,08YZ4@bactNOG,0NJ9U@firmNOG,COG0494@NOG	Adp-ribose pyrophosphatase			SZUA-1430_179:c(1487..1984)	hypothetical protein	K01515			K01515	K18568
Candidatus_bacterium_SZUA-1430|SZUA-1430_00470					08NMI@bactNOG,0BE8F@bproNOG,119AD@NOG,177AK@proNOG				SZUA-1430_180:236..559	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00471	K15529	[EC:3.1.3.84]	POA1	ADP-ribose 1''-phosphate phosphatase	05E9I@bactNOG,0QI2Z@gproNOG,16RWV@proNOG,COG2110@NOG	Appr-1-p processing domain protein			SZUA-1430_180:562..1611	hypothetical protein	K15529				K15529
Candidatus_bacterium_SZUA-1430|SZUA-1430_00472									SZUA-1430_181:95..640	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00474	K03798	[EC:3.4.24.-]	ftsH, hflB	cell division protease FtsH	05C3H@bactNOG,0D1KV@chloNOG,COG0465@NOG	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)			SZUA-1430_181:c(939..1925)	ATP-dependent zinc metalloprotease FtsH	K03798	K03798		K03798	K08956
Candidatus_bacterium_SZUA-1430|SZUA-1430_00475					08VXF@bactNOG,11S8X@NOG,1C8P7@synNOG	Inherit from bactNOG: DNA Polymerase Beta Domain Protein Region			SZUA-1430_182:c(877..1479)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00476					1CBTN@thaNOG,COG0750@NOG,arCOG04064@arNOG	Peptidase M50			SZUA-1430_183:326..1525	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00477	K05802		mscK, kefA, aefA	potassium-dependent mechanosensitive channel	COG0668@NOG,arCOG01568@arNOG	mechanosensitive ion channel			SZUA-1430_184:49..1323	Mechanosensitive channel MscK	K05802	K05802		K16052	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00478	K05919	[EC:1.15.1.2]	dfx	superoxide reductase	05MAX@bactNOG,0EU96@cloNOG,0NKUI@firmNOG,COG2033@NOG	K05919 superoxide reductase EC 1.15.1.2			SZUA-1430_185:23..256	Desulfoferrodoxin	K05919	K05919		K05919	K05919
Candidatus_bacterium_SZUA-1430|SZUA-1430_00479	K06960		K06960	uncharacterized protein	05VB6@bactNOG,0CYBT@chlaNOG,COG1837@NOG	UPF0109 protein			SZUA-1430_185:406..729	hypothetical protein	K06960	K06960		K06960	K06960
Candidatus_bacterium_SZUA-1430|SZUA-1430_00480	K00992	[EC:2.7.7.99]	murU	N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase					SZUA-1430_185:842..1105	hypothetical protein	K00992	K00992			
Candidatus_bacterium_SZUA-1430|SZUA-1430_00481	K07491		K07491	putative transposase	090HT@bactNOG,0D0YZ@chlNOG,COG1943@NOG	Inherit from COG: transposase			SZUA-1430_185:1171..1704	hypothetical protein	K07491				K07491
Candidatus_bacterium_SZUA-1430|SZUA-1430_00482	K11212	[EC:2.7.8.28]	cofD	LPPG:FO 2-phospho-L-lactate transferase	05CHW@bactNOG,COG0391@NOG	UPF0052 protein			SZUA-1430_185:1708..2730	Gluconeogenesis factor	K11212				K11212
Candidatus_bacterium_SZUA-1430|SZUA-1430_00483	K13015	[EC:1.1.1.136]	wbpA	UDP-N-acetyl-D-glucosamine dehydrogenase	08IJ1@bactNOG,0F72S@cloNOG,0P693@firmNOG,COG0677@NOG	nucleotide sugar dehydrogenase			SZUA-1430_186:1196..2470	UDP-N-acetyl-D-glucosamine 6-dehydrogenase	K13015	K13015		K02472	K21331
Candidatus_bacterium_SZUA-1430|SZUA-1430_00484	K00311	[EC:1.5.5.1]	ETFDH	electron-transferring-flavoprotein dehydrogenase	1CBEI@thaNOG,COG0644@NOG,arCOG00570@arNOG	Inherit from arCOG: Is involved in the reduction of 2,3- digeranylgeranylglycerophospholipids (unsaturated archaeols) into 2,3-diphytanylglycerophospholipids (saturated archaeols) in the biosynthesis of archaeal membrane lipids. Catalyzes the formation of archaetidic acid (2,3-di-O-phytanyl-sn-glyceryl phosphate) from 2,3-di-O-geranylgeranylglyceryl phosphate (DGGGP) via the hydrogenation of each double bond of the isoprenoid chains (By similarity)			SZUA-1430_187:196..1659	hypothetical protein	K00311			K00311	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00485	K21514	[EC:2.1.1.208]	aviRb	23S rRNA (uridine2479-2'-O)-methyltransferase	07TY2@bactNOG,09DUI@bctoNOG,0FX4J@cytNOG,COG0566@NOG	tRNA rRNA methyltransferase SpoU			SZUA-1430_188:11..274	tRNA (guanosine(18)-2'-O)-methyltransferase	K21514				K21514
Candidatus_bacterium_SZUA-1430|SZUA-1430_00486									SZUA-1430_188:330..467	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00487	K02887		RP-L20, MRPL20, rplT	large subunit ribosomal protein L20	08YZX@bactNOG,0BCU4@bproNOG,17C2Z@proNOG,COG0292@NOG	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit (By similarity)			SZUA-1430_188:c(719..1063)	50S ribosomal protein L20	K02887	K02887		K02887	K02887
Candidatus_bacterium_SZUA-1430|SZUA-1430_00488									SZUA-1430_188:c(1134..1325)	50S ribosomal protein L35					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00489	K02520		infC, MTIF3	translation initiation factor IF-3	02FEA@aquNOG,08UUX@bactNOG,COG0290@NOG	IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins (By similarity)			SZUA-1430_188:c(1429..1734)	Translation initiation factor IF-3	K02520	K02520		K02520	K02520
Candidatus_bacterium_SZUA-1430|SZUA-1430_00490	K07491		K07491	putative transposase	090HT@bactNOG,0FPAJ@cyaNOG,COG1943@NOG	Inherit from COG: transposase			SZUA-1430_189:55..426	hypothetical protein	K07491				K07491
Candidatus_bacterium_SZUA-1430|SZUA-1430_00491	K14415	[EC:6.5.1.3]	RTCB, rtcB	tRNA-splicing ligase RtcB	0FBB8@creNOG,COG1690@NOG,arCOG04246@arNOG	tRNA-splicing ligase that acts by directly joining spliced tRNA halves to mature-sized tRNAs by incorporating the precursor-derived splice junction phosphate into the mature tRNA as a canonical 3',5'-phosphodiester. May act as a RNA ligase with broad substrate specificity, and may function toward other RNAs			SZUA-1430_189:474..1988	RNA-splicing ligase RtcB	K14415	K14415		K14415	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00492	K07264	[EC:2.4.2.43]	arnT, pmrK	4-amino-4-deoxy-L-arabinose transferase	05SA9@bactNOG,0NGJY@firmNOG,0X274@negNOG,COG1807@NOG	Dolichyl-phosphate-mannose-protein mannosyltransferase			SZUA-1430_190:c(12..395)	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase	K07264				K07264
Candidatus_bacterium_SZUA-1430|SZUA-1430_00493					110BB@NOG,1CB70@thaNOG,arCOG08650@arNOG				SZUA-1430_191:5..1162	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00494					02TJ7@arNOG,1CCAX@thaNOG,COG2912@NOG	Inherit from COG: F-box protein 21			SZUA-1430_191:1174..2001	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00495									SZUA-1430_192:c(1694..2401)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00496									SZUA-1430_192:c(2437..3021)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00497	K02112	[EC:3.6.3.14]	ATPF1B, atpD	F-type H+-transporting ATPase subunit beta	05C4J@bactNOG,COG0055@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)			SZUA-1430_193:21..818	ATP synthase subunit beta	K02112	K02112		K02112	K02133
Candidatus_bacterium_SZUA-1430|SZUA-1430_00498	K02114		ATPF1E, atpC	F-type H+-transporting ATPase subunit epsilon	05KNM@bactNOG,0G5W3@defNOG,COG0355@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1430_193:926..1354	ATP synthase epsilon chain	K02114	K02114		K02114	K02134
Candidatus_bacterium_SZUA-1430|SZUA-1430_00499					00ZAP@actNOG,05KGV@bactNOG,COG4875@NOG	Calcium/calmodulin dependent protein kinase II Association			SZUA-1430_193:1504..1839	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00500	K06207		typA, bipA	GTP-binding protein	05CI3@bactNOG,0GAZD@delNOG,0I2G1@eproNOG,16Q3K@proNOG,COG1217@NOG	GTP-binding protein TypA			SZUA-1430_194:127..1485	GTP-binding protein TypA/BipA	K06207	K06207		K06207	K06207
Candidatus_bacterium_SZUA-1430|SZUA-1430_00501	K02967		RP-S2, MRPS2, rpsB	small subunit ribosomal protein S2	05CE9@bactNOG,099IV@bctoNOG,0P7EA@flaNOG,COG0052@NOG	30S ribosomal protein S2			SZUA-1430_195:63..386	50S ribosomal protein L21	K02967			K02967	K02998
Candidatus_bacterium_SZUA-1430|SZUA-1430_00502	K02876		RP-L15, MRPL15, rplO	large subunit ribosomal protein L15	08UZ0@bactNOG,0GETP@delNOG,0HFHJ@dproNOG,17CQT@proNOG,COG0200@NOG	Binds to the 23S rRNA (By similarity)			SZUA-1430_195:408..878	50S ribosomal protein L15	K02876	K02876		K02876	K02900
Candidatus_bacterium_SZUA-1430|SZUA-1430_00503	K10716		kch, trkA, mthK, pch	voltage-gated potassium channel	05EYW@bactNOG,099XW@bctoNOG,0FWUV@cytNOG,COG1226@NOG	Ion transport protein			SZUA-1430_195:972..1730	hypothetical protein	K10716	K10716		K10716	K11747
Candidatus_bacterium_SZUA-1430|SZUA-1430_00504	K13787	[EC:2.5.1.1][EC:2.5.1.10][EC:2.5.1.29]	idsA	geranylgeranyl diphosphate synthase, type I	0KS40@eurNOG,COG0142@NOG,arCOG01726@arNOG	Bifunctional short chain isoprenyl diphosphate synthase			SZUA-1430_195:1803..2870	(2E,6E)-farnesyl diphosphate synthase	K13787	K13787		K13787	
