#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1403|SZUA-1403_00001	K02120		ATPVD, ntpD, atpD	V/A-type H+/Na+-transporting ATPase subunit D	05M56@bactNOG,0EQND@cloNOG,0NFD9@firmNOG,COG1394@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1403_1:c(221..877)	V-type sodium ATPase subunit D	K02120	K02120	K02120	K02120	K02149
Candidatus_bacterium_SZUA-1403|SZUA-1403_00097	K01905	[EC:6.2.1.13]	acdA	acetate---CoA ligase (ADP-forming) subunit alpha	05CD5@bactNOG,COG1042@NOG	CoA-binding domain protein			SZUA-1403_14:c(1..2139)	Protein lysine acetyltransferase Pat	K01905			K01905	K18594
Candidatus_bacterium_SZUA-1403|SZUA-1403_00098									SZUA-1403_14:c(2159..2506)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00099									SZUA-1403_15:123..479	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00100	K01923	[EC:6.3.2.6]	purC	phosphoribosylaminoimidazole-succinocarboxamide synthase	COG0151@NOG,COG0152@NOG	Phosphoribosylglycinamide synthetase			SZUA-1403_15:555..1529	Phosphoribosylaminoimidazole-succinocarboxamide synthase	K01923	K01923		K01923	K13713
Candidatus_bacterium_SZUA-1403|SZUA-1403_00101	K00566	[EC:2.8.1.13]	mnmA, trmU	tRNA-uridine 2-sulfurtransferase	05CCJ@bactNOG,0ENYI@cloNOG,0ND5M@firmNOG,COG0482@NOG	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34 (By similarity)			SZUA-1403_15:c(1534..2640)	tRNA-specific 2-thiouridylase MnmA	K00566	K00566		K00566	K21027
Candidatus_bacterium_SZUA-1403|SZUA-1403_00102	K02996		RP-S9, MRPS9, rpsI	small subunit ribosomal protein S9	08UJD@bactNOG,0ESEA@cloNOG,0NI53@firmNOG,COG0103@NOG	30S ribosomal protein S9			SZUA-1403_16:c(245..646)	30S ribosomal protein S9	K02996	K02996		K02996	K02996
Candidatus_bacterium_SZUA-1403|SZUA-1403_00103	K02871		RP-L13, MRPL13, rplM	large subunit ribosomal protein L13	08UM5@bactNOG,0ESFS@cloNOG,0NI5U@firmNOG,COG0102@NOG	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)			SZUA-1403_16:c(673..1101)	50S ribosomal protein L13	K02871	K02871	K02871	K02871	K02872
Candidatus_bacterium_SZUA-1403|SZUA-1403_00104	K02879		RP-L17, MRPL17, rplQ	large subunit ribosomal protein L17	02FMJ@aquNOG,08ZT0@bactNOG,COG0203@NOG	50S ribosomal protein L17			SZUA-1403_16:c(1146..1565)	50S ribosomal protein L17	K02879	K02879		K02879	K02879
Candidatus_bacterium_SZUA-1403|SZUA-1403_00105	K03040	[EC:2.7.7.6]	rpoA	DNA-directed RNA polymerase subunit alpha	05CTF@bactNOG,0EP93@cloNOG,0NDG7@firmNOG,COG0202@NOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1403_16:c(1590..2561)	DNA-directed RNA polymerase subunit alpha	K03040	K03040		K03040	K03047
Candidatus_bacterium_SZUA-1403|SZUA-1403_00106	K02986		RP-S4, rpsD	small subunit ribosomal protein S4	05G6W@bactNOG,0QIVN@gproNOG,16S0R@proNOG,COG0522@NOG	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)			SZUA-1403_16:c(2619..3215)	30S ribosomal protein S4	K02986	K02986		K02986	K02997
Candidatus_bacterium_SZUA-1403|SZUA-1403_00107	K02948		RP-S11, MRPS11, rpsK	small subunit ribosomal protein S11	08UHH@bactNOG,0G8NB@deiNOG,COG0100@NOG	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome (By similarity)			SZUA-1403_16:c(3244..3633)	30S ribosomal protein S11	K02948	K02948		K02948	K02955
Candidatus_bacterium_SZUA-1403|SZUA-1403_00108	K02952		RP-S13, rpsM	small subunit ribosomal protein S13	08Z04@bactNOG,0I7C9@eryNOG,0NJE3@firmNOG,COG0099@NOG	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits			SZUA-1403_16:c(3655..4002)	30S ribosomal protein S13	K02952	K02952		K02952	K02964
Candidatus_bacterium_SZUA-1403|SZUA-1403_00109	K02919		RP-L36, MRPL36, rpmJ	large subunit ribosomal protein L36	067V7@bactNOG,0GIEC@delNOG,0I4NW@eproNOG,17RFU@proNOG,COG0257@NOG	50S ribosomal protein L36			SZUA-1403_16:c(4021..4134)	50S ribosomal protein L36	K02919	K02919		K02919	K02919
Candidatus_bacterium_SZUA-1403|SZUA-1403_00110	K02518		infA	translation initiation factor IF-1	00MW5@actNOG,05K9U@bactNOG,COG0361@NOG	however, it seems to stimulate more or less all the activities of the other two initiation factors, IF-2 and IF-3 (By similarity)			SZUA-1403_16:c(4159..4419)	Translation initiation factor IF-1	K02518	K02518		K02518	K03236
Candidatus_bacterium_SZUA-1403|SZUA-1403_00111	K02988		RP-S5, MRPS5, rpsE	small subunit ribosomal protein S5	04TQU@bacNOG,08RA9@bactNOG,0NH6D@firmNOG,COG0098@NOG	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body (By similarity)			SZUA-1403_16:c(4486..5043)	30S ribosomal protein S5	K02988	K02988		K02988	K02988
Candidatus_bacterium_SZUA-1403|SZUA-1403_00112	K02881		RP-L18, MRPL18, rplR	large subunit ribosomal protein L18	04UV7@bacNOG,05K4C@bactNOG,0NJ8V@firmNOG,COG0256@NOG	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance (By similarity)			SZUA-1403_16:c(5064..5384)	50S ribosomal protein L18	K02881	K02881		K02881	K02932
Candidatus_bacterium_SZUA-1403|SZUA-1403_00113	K02933		RP-L6, MRPL6, rplF	large subunit ribosomal protein L6	00DS2@actNOG,08R5J@bactNOG,COG0097@NOG	This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center (By similarity)			SZUA-1403_16:c(5410..5955)	50S ribosomal protein L6	K02933	K02933		K02933	K02940
Candidatus_bacterium_SZUA-1403|SZUA-1403_00114	K02994		RP-S8, rpsH	small subunit ribosomal protein S8	08UJY@bactNOG,0G5T0@defNOG,COG0096@NOG	One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit (By similarity)			SZUA-1403_16:c(5966..6349)	30S ribosomal protein S8	K02994	K02994		K02994	K02994
Candidatus_bacterium_SZUA-1403|SZUA-1403_00115	K02954		RP-S14, MRPS14, rpsN	small subunit ribosomal protein S14	082QR@bactNOG,COG0199@NOG	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site (By similarity)			SZUA-1403_16:c(6366..6590)	30S ribosomal protein S14	K02954	K02954		K02954	K02980
Candidatus_bacterium_SZUA-1403|SZUA-1403_00116	K02931		RP-L5, MRPL5, rplE	large subunit ribosomal protein L5	05CW6@bactNOG,0NEFD@firmNOG,COG0094@NOG	This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits			SZUA-1403_16:c(6605..7144)	50S ribosomal protein L5	K02931	K02931		K02931	K02931
Candidatus_bacterium_SZUA-1403|SZUA-1403_00117	K02895		RP-L24, MRPL24, rplX	large subunit ribosomal protein L24	COG0198@NOG	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit (By similarity)			SZUA-1403_16:c(7144..7467)	50S ribosomal protein L24	K02895	K02895		K02895	K02898
Candidatus_bacterium_SZUA-1403|SZUA-1403_00118	K02874		RP-L14, MRPL14, rplN	large subunit ribosomal protein L14	08UNN@bactNOG,09ECR@bctoNOG,0P9ZX@flaNOG,COG0093@NOG	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome (By similarity)			SZUA-1403_16:c(7476..7844)	50S ribosomal protein L14	K02874	K02874		K02874	K02894
Candidatus_bacterium_SZUA-1403|SZUA-1403_00119	K02961		RP-S17, MRPS17, rpsQ	small subunit ribosomal protein S17	05K87@bactNOG,1C93F@synNOG,COG0186@NOG	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal			SZUA-1403_16:c(7878..8102)	30S ribosomal protein S17	K02961	K02961		K02961	K02961
Candidatus_bacterium_SZUA-1403|SZUA-1403_00120									SZUA-1403_16:c(8120..8278)	50S ribosomal protein L29					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00121	K02878		RP-L16, MRPL16, rplP	large subunit ribosomal protein L16	08R70@bactNOG,0QPY6@gproNOG,179Q0@proNOG,COG0197@NOG	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs (By similarity)			SZUA-1403_16:c(8290..8709)	50S ribosomal protein L16	K02878	K02878		K02878	K02878
Candidatus_bacterium_SZUA-1403|SZUA-1403_00122					01VM1@aproNOG,08KR5@bactNOG,0XQIY@NOG,176D2@proNOG	Type IV secretion-system coupling protein DNA-binding domain			SZUA-1403_17:820..3450	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00125	K02601		nusG	transcriptional antiterminator NusG	05E5V@bactNOG,0ESHJ@cloNOG,0NIS5@firmNOG,COG0250@NOG	Influences transcription termination and antitermination. Acts as a component of the transcription complex, and interacts with the termination factor rho and RNA polymerase (By similarity)			SZUA-1403_17:c(3846..4511)	Transcription termination/antitermination protein NusG	K02601	K02601		K02601	K05785
Candidatus_bacterium_SZUA-1403|SZUA-1403_00126	K02968		RP-S20, rpsT	small subunit ribosomal protein S20	05KQV@bactNOG,0QTWN@gproNOG,17FUG@proNOG,COG0268@NOG	Binds directly to 16S ribosomal RNA (By similarity)			SZUA-1403_17:c(4743..5009)	30S ribosomal protein S20	K02968	K02968		K02968	K02968
Candidatus_bacterium_SZUA-1403|SZUA-1403_00128					01QYU@aproNOG,05FD1@bactNOG,0XS6R@NOG,16T21@proNOG	membrane			SZUA-1403_17:5279..6232	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00129	K00147	[EC:1.2.1.41]	proA	glutamate-5-semialdehyde dehydrogenase	05C2S@bactNOG,0EPDX@cloNOG,0NDVW@firmNOG,COG0014@NOG	Catalyzes the NADPH dependent reduction of L-gamma- glutamyl 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5-carboxylate (By similarity)			SZUA-1403_17:6319..7557	Gamma-glutamyl phosphate reductase	K00147	K00147		K00147	K00147
Candidatus_bacterium_SZUA-1403|SZUA-1403_00130									SZUA-1403_17:7625..9721	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00131	K01255	[EC:3.4.11.1]	CARP, pepA	leucyl aminopeptidase	05BZ6@bactNOG,0QI9S@gproNOG,16QGR@proNOG,COG0260@NOG	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides (By similarity)			SZUA-1403_17:c(9733..11157)	Cytosol aminopeptidase	K01255	K01255		K01255	K07751
Candidatus_bacterium_SZUA-1403|SZUA-1403_00132									SZUA-1403_17:11465..11836	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00133	K20469		K20469	putative heme transporter	05C02@bactNOG,0ESNJ@cloNOG,0NEF8@firmNOG,COG0628@NOG	Domain of unknown function DUF20			SZUA-1403_17:11888..13153	Putative transport protein YhhT	K20469				K20469
Candidatus_bacterium_SZUA-1403|SZUA-1403_00134					08Z1F@bactNOG,0QS6X@gproNOG,17C6X@proNOG,COG2947@NOG	Pfam:DUF55			SZUA-1403_17:13155..13658	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00135	K03043	[EC:2.7.7.6]	rpoB	DNA-directed RNA polymerase subunit beta	08IIJ@bactNOG,0F72J@cloNOG,0P68T@firmNOG,COG0085@NOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1403_18:245..3745	DNA-directed RNA polymerase subunit beta	K03043	K03043	K03043	K03043	K13798
Candidatus_bacterium_SZUA-1403|SZUA-1403_00136	K03111		ssb	single-strand DNA-binding protein	08UUM@bactNOG,09GHA@bctoNOG,COG0629@NOG	single-stranded DNA-binding protein			SZUA-1403_18:3756..4169	Single-stranded DNA-binding protein	K03111	K03111		K03111	K03111
Candidatus_bacterium_SZUA-1403|SZUA-1403_00137	K03046	[EC:2.7.7.6]	rpoC	DNA-directed RNA polymerase subunit beta'	07QR0@bactNOG,0D1HI@chloNOG,0G6WS@dehNOG,COG0086@NOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1403_18:4211..8080	DNA-directed RNA polymerase subunit beta'	K03046	K03046		K03046	K13797
Candidatus_bacterium_SZUA-1403|SZUA-1403_00138	K01142	[EC:3.1.11.2]	E3.1.11.2, xthA	exodeoxyribonuclease III	0KRMU@eurNOG,0WRN9@metNOG,COG0708@NOG,arCOG02207@arNOG	exodeoxyribonuclease III			SZUA-1403_18:8194..9024	Exodeoxyribonuclease	K01142	K01142		K01142	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00139					05TNC@bactNOG,0GFNH@delNOG,0HGIX@dproNOG,174S2@proNOG,COG1808@NOG	Domain of unknown function (DUF389)			SZUA-1403_18:9032..11104	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00140	K06941	[EC:2.1.1.192]	rlmN	23S rRNA (adenine2503-C2)-methyltransferase	05C55@bactNOG,0QEZ6@fusoNOG,COG0820@NOG	Specifically methylates position 2 of adenine 2503 in 23S rRNA and position 2 of adenine 37 in tRNAs (By similarity)			SZUA-1403_18:11136..12257	putative dual-specificity RNA methyltransferase RlmN	K06941	K06941		K06941	K06941
Candidatus_bacterium_SZUA-1403|SZUA-1403_00141	K00948	[EC:2.7.6.1]	PRPS, prsA	ribose-phosphate pyrophosphokinase	00C2B@actNOG,05C5T@bactNOG,COG0462@NOG	Phosphoribosyl pyrophosphate synthase			SZUA-1403_18:c(12355..13308)	Ribose-phosphate pyrophosphokinase	K00948	K00948		K00948	K00948
Candidatus_bacterium_SZUA-1403|SZUA-1403_00142	K01892	[EC:6.1.1.21]	HARS, hisS	histidyl-tRNA synthetase	05CUT@bactNOG,0D1S9@chloNOG,0G73F@dehNOG,COG0124@NOG	histidyl-tRNA synthetase (EC 6.1.1.21)			SZUA-1403_18:c(13334..14704)	Histidine--tRNA ligase	K01892	K01892		K01892	K01892
Candidatus_bacterium_SZUA-1403|SZUA-1403_00143									SZUA-1403_19:271..597	Ribosomal RNA small subunit methyltransferase F					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00144	K02835		prfA, MTRF1, MRF1	peptide chain release factor 1	05C8K@bactNOG,0QI9Q@gproNOG,16PM9@proNOG,COG0216@NOG	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA (By similarity)			SZUA-1403_19:c(631..1692)	Peptide chain release factor RF1	K02835	K02835		K02835	K02835
Candidatus_bacterium_SZUA-1403|SZUA-1403_00145					06AQ8@bactNOG,0Y3S0@NOG				SZUA-1403_19:c(1735..3327)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00146	K00826	[EC:2.6.1.42]	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase	05F0I@bactNOG,0GARM@delNOG,0HH6C@dproNOG,16PMY@proNOG,COG0115@NOG	Aminotransferase			SZUA-1403_19:3470..4294	D-alanine aminotransferase	K00826	K00826		K00824	K03342
Candidatus_bacterium_SZUA-1403|SZUA-1403_00147					01VM1@aproNOG,08KR5@bactNOG,0XQIY@NOG,176D2@proNOG	Type IV secretion-system coupling protein DNA-binding domain			SZUA-1403_19:c(4310..6586)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00148									SZUA-1403_19:c(6696..8378)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00149					064KA@bactNOG,124CW@NOG	transcriptional regulator trmb			SZUA-1403_19:8444..9325	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00150									SZUA-1403_20:c(68..232)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00151	K00287	[EC:1.5.1.3]	DHFR, folA	dihydrofolate reductase	08YYV@bactNOG,0QHTU@gproNOG,17C4I@proNOG,COG0262@NOG	Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis (By similarity)			SZUA-1403_20:636..1148	Dihydrofolate reductase	K00287	K00287	K00287	K00287	K19644
Candidatus_bacterium_SZUA-1403|SZUA-1403_00152	K00800	[EC:2.5.1.19]	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	05CMY@bactNOG,0QIQK@gproNOG,16Q0F@proNOG,COG0128@NOG	5-enolpyruvylshikimate-3-phosphate synthase			SZUA-1403_20:1205..2521	3-phosphoshikimate 1-carboxyvinyltransferase	K00800	K00800		K00800	K00800
Candidatus_bacterium_SZUA-1403|SZUA-1403_00153									SZUA-1403_20:c(2534..2728)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00154	K03701		uvrA	excinuclease ABC subunit A	0KRIU@eurNOG,0WK6B@methaNOG,COG0178@NOG,arCOG04694@arNOG	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity)			SZUA-1403_21:321..2561	UvrABC system protein A	K03701			K03701	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00155	K01870	[EC:6.1.1.5]	IARS, ileS	isoleucyl-tRNA synthetase	05C07@bactNOG,1AMNS@spiNOG,COG0060@NOG	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile) (By similarity)			SZUA-1403_22:4..1587	Isoleucine--tRNA ligase	K01870	K01870		K01870	K01870
Candidatus_bacterium_SZUA-1403|SZUA-1403_00156									SZUA-1403_22:1818..6689	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00158									SZUA-1403_22:c(6914..7666)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00159									SZUA-1403_22:7774..8616	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00160	K03590		ftsA	cell division protein FtsA	05CIT@bactNOG,0D1P5@chloNOG,COG0849@NOG	This protein may be involved in anomalous filament growth. May be a component of the septum (By similarity)			SZUA-1403_22:8735..9964	Cell division protein FtsA	K03590	K03590		K03590	K03590
Candidatus_bacterium_SZUA-1403|SZUA-1403_00161	K03531		ftsZ	cell division protein FtsZ	05CDK@bactNOG,0ENPI@cloNOG,0ND68@firmNOG,COG0206@NOG	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)			SZUA-1403_22:10008..11234	Cell division protein FtsZ	K03531	K03531		K03531	K03531
Candidatus_bacterium_SZUA-1403|SZUA-1403_00162	K00812	[EC:2.6.1.1]	aspB	aspartate aminotransferase	05CHM@bactNOG,0ENQA@cloNOG,0ND77@firmNOG,COG0436@NOG	Aminotransferase			SZUA-1403_22:11373..12917	Bifunctional aspartate aminotransferase and L-aspartate beta-decarboxylase	K00812	K00812		K00812	K20615
Candidatus_bacterium_SZUA-1403|SZUA-1403_00163									SZUA-1403_22:12925..13398	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00164	K01876	[EC:6.1.1.12]	aspS	aspartyl-tRNA synthetase	05C9M@bactNOG,0D1ZI@chloNOG,COG0173@NOG	Aspartyl-tRNA synthetase			SZUA-1403_22:13546..15315	Aspartate--tRNA ligase	K01876	K01876	K01876	K01876	K01876
Candidatus_bacterium_SZUA-1403|SZUA-1403_00165	K00606	[EC:2.1.2.11]	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	05CCG@bactNOG,COG0413@NOG	Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is tranferred onto alpha-ketoisovalerate to form ketopantoate (By similarity)			SZUA-1403_22:15319..16074	3-methyl-2-oxobutanoate hydroxymethyltransferase	K00606	K00606		K00606	K00606
Candidatus_bacterium_SZUA-1403|SZUA-1403_00166	K01756	[EC:4.3.2.2]	purB, ADSL	adenylosuccinate lyase	07QTF@bactNOG,0QHZB@gproNOG,16PTV@proNOG,COG0015@NOG	adenylosuccinate lyase			SZUA-1403_22:16150..17583	Adenylosuccinate lyase	K01756	K01756		K01756	K22004
Candidatus_bacterium_SZUA-1403|SZUA-1403_00167	K02864		RP-L10, MRPL10, rplJ	large subunit ribosomal protein L10	08VZM@bactNOG,0ESJT@cloNOG,0NI4T@firmNOG,COG0244@NOG	50S ribosomal protein L10			SZUA-1403_22:18137..18664	50S ribosomal protein L10	K02864	K02864	K02864	K02864	K14815
Candidatus_bacterium_SZUA-1403|SZUA-1403_00168	K02935		RP-L7, MRPL12, rplL	large subunit ribosomal protein L7/L12	05KBC@bactNOG,0EU68@cloNOG,0NKQV@firmNOG,COG0222@NOG	Seems to be the binding site for several of the factors involved in protein synthesis and appears to be essential for accurate translation (By similarity)			SZUA-1403_22:18724..19119	50S ribosomal protein L7/L12	K02935	K02935		K02935	K02935
Candidatus_bacterium_SZUA-1403|SZUA-1403_00169	K12994	[EC:2.4.1.349][EC:2.4.1.-]	wbdB, wbpY	mannosyl-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase / alpha-1,3-rhamnosyltransferase	08TJN@bactNOG,0GBWD@delNOG,17829@proNOG,COG0438@NOG	glycosyl transferase group 1			SZUA-1403_22:19244..20521	hypothetical protein	K12994			K12994	K21586
Candidatus_bacterium_SZUA-1403|SZUA-1403_00170	K02876		RP-L15, MRPL15, rplO	large subunit ribosomal protein L15	00IF6@actNOG,08UZ0@bactNOG,COG0200@NOG	Binds to the 23S rRNA (By similarity)			SZUA-1403_22:20630..21085	50S ribosomal protein L15	K02876	K02876		K02876	K02900
