#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00001	K11600		RRP41, EXOSC4, SKI6	exosome complex component RRP41	02H1C@arcNOG,0KR95@eurNOG,COG0689@NOG,arCOG01575@arNOG	Probably involved in the 3'- 5' degradation of a variety of RNA species			SZUA-1439_1:88..492	Exosome complex component Rrp41	K11600	K11600		K11600	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00086					02HJY@arcNOG,0KU1A@eurNOG,COG0467@NOG,arCOG01171@arNOG	PAXNEB protein			SZUA-1439_32:1811..2509	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00087	K09119		cgi121	KEOPS complex subunit Cgi121	02HUR@arcNOG,0KURR@eurNOG,COG1617@NOG,arCOG02197@arNOG	Kinase binding protein CGI-121			SZUA-1439_32:2542..3024	KEOPS complex subunit Cgi121	K09119		K09119	K09119	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00089									SZUA-1439_33:c(323..547)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00090	K09739	[EC:4.1.2.25]	mptD	dihydroneopterin aldolase	02HU3@arcNOG,0KTXV@eurNOG,COG2098@NOG,arCOG04705@arNOG	Domain of unknown function (DUF381)			SZUA-1439_33:c(574..867)	Dihydroneopterin aldolase	K09739		K09739	K09739	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00091	K17103	[EC:2.7.8.8]	CHO1, pssA	CDP-diacylglycerol---serine O-phosphatidyltransferase	0KUD0@eurNOG,COG1183@NOG,arCOG00671@arNOG	O-phosphatidyltransferase			SZUA-1439_33:c(879..1505)	Archaetidylserine synthase	K17103	K17103		K17103	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00092	K01613	[EC:4.1.1.65]	psd, PISD	phosphatidylserine decarboxylase	02HSR@arcNOG,0KU0V@eurNOG,COG0688@NOG,arCOG04470@arNOG	phosphatidylserine decarboxylase			SZUA-1439_33:c(1560..2150)	Putative archaetidylserine decarboxylase proenzyme	K01613	K01613	K01613	K01613	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00093					02HMV@arcNOG,0KRU5@eurNOG,COG4083@NOG,arCOG04471@arNOG	Transmembrane exosortase (Exosortase_EpsH)			SZUA-1439_33:c(2104..2865)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00094					02HC8@arcNOG,0KRQH@eurNOG,COG3273@NOG,arCOG01963@arNOG	TrkA-C domain protein			SZUA-1439_33:c(2868..3716)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00095	K20215	[EC:2.1.1.98]	dph5	diphthine synthase	02H6N@arcNOG,0KRRU@eurNOG,COG1798@NOG,arCOG04161@arNOG	S-adenosyl-L-methionine-dependent methyltransferase that catalyzes the trimethylation of the amino group of the modified target histidine residue in translation elongation factor 2 (EF- 2), to form an intermediate called diphthine. The three successive methylation reactions represent the second step of diphthamide biosynthesis (By similarity)			SZUA-1439_34:339..1115	Diphthine synthase	K20215	K20215	K20215	K00586	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00096	K07477		K07477	translin	02HQD@arcNOG,0KUBB@eurNOG,COG2178@NOG,arCOG04318@arNOG	K07477 translin			SZUA-1439_34:c(1312..1923)	hypothetical protein	K07477	K07477	K07477	K07477	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00097	K00817	[EC:2.6.1.9]	hisC	histidinol-phosphate aminotransferase	02HV6@arcNOG,0KY5N@eurNOG,COG2158@NOG,arCOG05056@arNOG	Cysteine-rich small domain protein			SZUA-1439_35:17..178	hypothetical protein	K00817			K00817	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00098	K01974	[EC:6.5.1.4]	RTCA, rtcA	RNA 3'-terminal phosphate cyclase (ATP)	02HBG@arcNOG,0KRRH@eurNOG,COG0430@NOG,arCOG04125@arNOG	Catalyzes the conversion of 3'-phosphate to a 2',3'- cyclic phosphodiester at the end of RNA. The mechanism of action of the enzyme occurs in 3 steps (A) adenylation of the enzyme by ATP			SZUA-1439_35:280..1284	RNA 3'-terminal phosphate cyclase	K01974	K01974	K01974	K01974	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00099	K01687	[EC:4.2.1.9]	ilvD	dihydroxy-acid dehydratase	0KRH7@eurNOG,COG0129@NOG,arCOG04045@arNOG	dihydroxyacid dehydratase (EC 4.2.1.9)			SZUA-1439_35:1398..3068	Dihydroxy-acid dehydratase	K01687	K01687	K01687	K01687	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00100	K02003		ABC.CD.A	putative ABC transport system ATP-binding protein	0KSRI@eurNOG,COG1136@NOG,arCOG00922@arNOG	ABC transporter			SZUA-1439_36:c(98..775)	putative ABC transporter ATP-binding protein	K02003	K02003	K02003	K02003	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00101					02HJE@arcNOG,0KYK6@eurNOG,COG1361@NOG,arCOG04400@arNOG	Inherit from COG: S-layer domain-like protein			SZUA-1439_36:c(804..2111)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00102					02HKW@arcNOG,0KSRE@eurNOG,COG4860@NOG,arCOG04366@arNOG	ArsR transcriptional regulator			SZUA-1439_37:480..995	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00103	K09715		K09715	uncharacterized protein	02I51@arcNOG,0KV57@eurNOG,COG1531@NOG,arCOG01302@arNOG	UPF0248 protein			SZUA-1439_37:992..1249	hypothetical protein	K09715		K09715	K09715	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00104	K01486	[EC:3.5.4.2]	ade	adenine deaminase	02GV4@arcNOG,0KRIW@eurNOG,COG1001@NOG,arCOG00693@arNOG	adenine deaminase (EC 3.5.4.2)			SZUA-1439_38:40..240	Adenine deaminase	K01486	K01486		K01486	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00105	K10747	[EC:6.5.1.1][EC:6.5.1.6][EC:6.5.1.7]	LIG1	DNA ligase 1	02H0C@arcNOG,0KRJK@eurNOG,COG1793@NOG,arCOG01347@arNOG	DNA ligase that seals nicks in double-stranded DNA during DNA replication, DNA recombination and DNA repair (By similarity)			SZUA-1439_38:c(522..2195)	DNA ligase	K10747	K10747	K10747	K10747	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00106					0KUCD@eurNOG,COG2036@NOG,arCOG02144@arNOG	transcription factor CBF NF-Y histone			SZUA-1439_38:2804..3007	Archaeal histone A					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00107	K06883		K06883	uncharacterized protein	0KSHZ@eurNOG,COG1100@NOG,arCOG00354@arNOG	GTP-binding protein			SZUA-1439_38:3291..3857	GTPase Era	K06883	K06883		K06883	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00108	K09743		K09743	uncharacterized protein	02HS2@arcNOG,0KTYC@eurNOG,COG3365@NOG,arCOG04416@arNOG	Uncharacterized protein conserved in archaea (DUF2073)			SZUA-1439_38:3871..4218	hypothetical protein	K09743	K09743	K09743	K09743	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00109	K07163		K07163	uncharacterized protein	02HYY@arcNOG,0KTFP@eurNOG,COG3364@NOG,arCOG04417@arNOG	Zn-ribbon containing protein (DUF2072)			SZUA-1439_38:4222..4560	hypothetical protein	K07163	K07163	K07163	K07163	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00110	K01499	[EC:3.5.4.27]	mch	methenyltetrahydromethanopterin cyclohydrolase	02GX2@arcNOG,0KRT9@eurNOG,COG3252@NOG,arCOG02675@arNOG	Catalyzes the hydrolysis of methenyl-H(4)MPT( ) to 5- formyl-H(4)MPT			SZUA-1439_38:c(4624..5556)	Methenyltetrahydromethanopterin cyclohydrolase	K01499	K01499	K01499	K01499	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00111	K01704	[EC:4.2.1.33][EC:4.2.1.35]	leuD, IPMI-S	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit	0KT17@eurNOG,COG0066@NOG,arCOG02230@arNOG	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)			SZUA-1439_38:c(5558..5743)	Isopropylmalate/citramalate isomerase small subunit	K01704	K01704		K01704	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00112	K02977		RP-S27Ae, RPS27A	small subunit ribosomal protein S27Ae	02I4M@arcNOG,0KV5T@eurNOG,COG1998@NOG,arCOG04183@arNOG	30S ribosomal protein S27ae			SZUA-1439_39:c(182..355)	30S ribosomal protein S27ae	K02977	K02977	K02977	K02977	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00113	K02974		RP-S24e, RPS24	small subunit ribosomal protein S24e	02I1X@arcNOG,0KUMD@eurNOG,COG2004@NOG,arCOG04182@arNOG	30S ribosomal protein S24e			SZUA-1439_39:c(555..896)	30S ribosomal protein S24e	K02974	K02974	K02974	K02974	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00114	K09735		K09735	uncharacterized protein	02HVG@arcNOG,0KSZA@eurNOG,COG1909@NOG,arCOG04076@arNOG	Protein of unknown function (DUF359)			SZUA-1439_39:c(835..1425)	hypothetical protein	K09735	K09735	K09735	K09735	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00115	K03050	[EC:2.7.7.6]	rpoE2	DNA-directed RNA polymerase subunit E"	02I5U@arcNOG,0KV7R@eurNOG,COG2093@NOG,arCOG04077@arNOG	DNA-directed RNA polymerase, subunit E'' (RpoE2)			SZUA-1439_39:c(1428..1616)	Transcription elongation factor Spt4	K03050	K03050	K03050	K03050	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00116	K03049	[EC:2.7.7.6]	rpoE1	DNA-directed RNA polymerase subunit E'	0KSZ9@eurNOG,COG1095@NOG,arCOG00675@arNOG	DNA-directed RNA polymerase, subunit e'			SZUA-1439_39:c(1621..1845)	DNA-directed RNA polymerase subunit E'	K03049	K03049		K03049	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00117	K01867	[EC:6.1.1.2]	WARS, trpS	tryptophanyl-tRNA synthetase	02HDD@arcNOG,0KRUK@eurNOG,COG0180@NOG,arCOG01887@arNOG	tryptophanyl-tRNA synthetase (EC 6.1.1.2)			SZUA-1439_40:c(241..1506)	Tryptophan--tRNA ligase	K01867	K01867	K01867	K01867	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00119					0KT5I@eurNOG,COG1986@NOG,arCOG01221@arNOG	Phosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP to their respective diphosphate derivatives. Probably excludes non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions			SZUA-1439_41:355..876	Non-canonical purine NTP phosphatase					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00120					0KSTY@eurNOG,COG1533@NOG,arCOG01290@arNOG	radical sam domain protein			SZUA-1439_41:934..1767	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00121									SZUA-1439_42:c(751..963)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00122									SZUA-1439_42:c(1036..1293)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00123									SZUA-1439_42:c(1300..1464)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00124	K00031	[EC:1.1.1.42]	IDH1, IDH2, icd	isocitrate dehydrogenase	02H2G@arcNOG,0KS43@eurNOG,COG0538@NOG,arCOG01164@arNOG	Isocitrate/isopropylmalate dehydrogenase			SZUA-1439_42:c(2064..3299)	Isocitrate dehydrogenase [NADP]	K00031	K00031	K00031	K00031	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00125									SZUA-1439_43:154..342	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00126									SZUA-1439_43:c(1462..1815)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00127	K02013	[EC:3.6.3.34]	ABC.FEV.A	iron complex transport system ATP-binding protein	02HME@arcNOG,0KRDC@eurNOG,COG1120@NOG,arCOG00198@arNOG	ABC transporter related protein			SZUA-1439_44:58..528	Cobalamin import ATP-binding protein BtuD	K02013	K02013		K02013	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00128					02HV9@arcNOG,0KVKX@eurNOG,COG5608@NOG,arCOG03787@arNOG	Late embryogenesis abundant protein			SZUA-1439_44:974..1861	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00129					02I10@arcNOG,0KUC6@eurNOG,COG1522@NOG,arCOG01117@arNOG	AsnC family transcriptional regulator			SZUA-1439_44:1998..2267	putative HTH-type transcriptional regulator					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00130					0KRNS@eurNOG,COG0535@NOG,arCOG00938@arNOG	radical sam domain protein			SZUA-1439_44:2895..4268	7,8-dihydro-6-hydroxymethylpterin dimethyltransferase					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00131					0Y71W@NOG,arCOG10389@arNOG				SZUA-1439_45:c(1119..1688)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00132					COG5561@NOG,arCOG02639@arNOG	CGGC domain			SZUA-1439_45:c(2296..2646)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00133	K09003		K09003	uncharacterized protein	0KS7A@eurNOG,COG1415@NOG,arCOG04253@arNOG	Protein of unknown function (DUF763)			SZUA-1439_45:c(3005..4045)	hypothetical protein	K09003	K09003	K09003	K09003	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00134	K01652	[EC:2.2.1.6]	E2.2.1.6L, ilvB, ilvG, ilvI	acetolactate synthase I/II/III large subunit	0KRBJ@eurNOG,COG0028@NOG,arCOG01998@arNOG	Acetolactate synthase, large subunit			SZUA-1439_45:4312..5976	Sulfopyruvate decarboxylase subunit beta	K01652	K01652	K01652	K01652	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00135	K01653	[EC:2.2.1.6]	E2.2.1.6S, ilvH, ilvN	acetolactate synthase I/III small subunit	02HD1@arcNOG,0KT20@eurNOG,COG0440@NOG,arCOG04445@arNOG	Acetolactate synthase, small subunit			SZUA-1439_45:5980..6462	hypothetical protein	K01653	K01653	K01653	K01653	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00136	K02866		RP-L10e, RPL10	large subunit ribosomal protein L10e	0KSQG@eurNOG,COG0197@NOG,arCOG04113@arNOG	50S ribosomal protein L10.e			SZUA-1439_45:6851..7375	50S ribosomal protein L10e	K02866	K02866	K02866	K02866	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00137	K04797		pfdA, PFDN5	prefoldin alpha subunit	02HX8@arcNOG,0KVFP@eurNOG,COG1730@NOG,arCOG01341@arNOG	Molecular chaperone capable of stabilizing a range of proteins. Seems to fulfill an ATP-independent, HSP70-like function in archaeal de novo protein folding (By similarity)			SZUA-1439_46:384..815	Prefoldin subunit alpha	K04797		K04797	K04797	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00138									SZUA-1439_46:c(787..1197)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00139	K11529	[EC:2.7.1.165]	gck, gckA, GLYCTK	glycerate 2-kinase	0KRHC@eurNOG,COG2379@NOG,arCOG04170@arNOG	Glycerate kinase			SZUA-1439_47:45..932	Glycerate 2-kinase	K11529	K11529		K00050	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00140	K07569		gar1	RNA-binding protein	COG3277@NOG,arCOG02466@arNOG	h aca RNA-protein complex component gar1			SZUA-1439_47:1131..1448	hypothetical protein	K07569			K07569	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00141	K09121	[EC:4.99.1.12]	larC	pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase	0KSA0@eurNOG,COG1641@NOG,arCOG02701@arNOG	UPF0272 protein			SZUA-1439_48:198..1127	hypothetical protein	K09121	K09121		K09121	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00142									SZUA-1439_48:1272..1511	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00143	K04484		radB	DNA repair protein RadB	02H4Q@arcNOG,0KSB4@eurNOG,COG0468@NOG,arCOG00417@arNOG	Involved in DNA repair and in homologous recombination. May regulate the cleavage reactions of the branch-structured DNA. Has a very weak ATPase activity that is not stimulated by DNA. Binds DNA but does not promote DNA strands exchange (By similarity)			SZUA-1439_48:1627..2436	DNA repair and recombination protein RadB	K04484	K04484	K04484	K04482	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00144	K02224	[EC:6.3.5.9][EC:6.3.5.11]	cobB-cbiA	cobyrinic acid a,c-diamide synthase	02HNH@arcNOG,0KRPP@eurNOG,COG1797@NOG,arCOG00106@arNOG	Responsible for the amidation of carboxylic groups at position A and C of either cobyrinic acid or hydrogenobrynic acid. NH(2) groups are provided by glutamine, and one molecule of ATP is hydrogenolyzed for each amidation (By similarity)			SZUA-1439_48:2613..2888	Cobyrinate a,c-diamide synthase	K02224	K02224		K02224	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00145	K02224	[EC:6.3.5.9][EC:6.3.5.11]	cobB-cbiA	cobyrinic acid a,c-diamide synthase	02HNH@arcNOG,0KRPP@eurNOG,COG1797@NOG,arCOG00106@arNOG	Responsible for the amidation of carboxylic groups at position A and C of either cobyrinic acid or hydrogenobrynic acid. NH(2) groups are provided by glutamine, and one molecule of ATP is hydrogenolyzed for each amidation (By similarity)			SZUA-1439_48:c(2824..2973)	Cobyrinate a,c-diamide synthase	K02224	K02224		K02224	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00146	K03388	[EC:1.8.7.3][EC:1.8.98.4][EC:1.8.98.5][EC:1.8.98.6]	hdrA2	heterodisulfide reductase subunit A2	0KRD4@eurNOG,COG1148@NOG,COG1908@NOG,arCOG02235@arNOG,arCOG02475@arNOG	heterodisulfide reductase subunit A			SZUA-1439_49:83..1558	CoB--CoM heterodisulfide reductase iron-sulfur subunit A	K03388	K03388		K03388	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00147									SZUA-1439_49:c(2825..2932)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00148	K17105	[EC:2.5.1.42]	E2.5.1.42	geranylgeranylglycerol-phosphate geranylgeranyltransferase	02GXT@arcNOG,0KTG2@eurNOG,COG0382@NOG,arCOG00476@arNOG	UbiA prenyltransferase family			SZUA-1439_50:24..458	Digeranylgeranylglyceryl phosphate synthase	K17105	K17105		K17105	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00149					0KT6X@eurNOG,COG4739@NOG,arCOG04483@arNOG	Uncharacterized protein containing a ferredoxin domain (DUF2148)			SZUA-1439_50:724..1263	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00150									SZUA-1439_50:1512..1658	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00151	K07498		K07498	putative transposase	0KUY3@eurNOG,COG3316@NOG,arCOG02134@arNOG	Transposase			SZUA-1439_50:1682..1969	hypothetical protein	K07498			K07498	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00152	K07558	[EC:2.7.7.72]	K07558, cca	tRNA nucleotidyltransferase (CCA-adding enzyme)	02HG0@arcNOG,0KRC4@eurNOG,COG1746@NOG,arCOG04249@arNOG	Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate (By similarity)			SZUA-1439_51:128..727	CCA-adding enzyme	K07558	K07558		K07558	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00153					0KS9D@eurNOG,COG0526@NOG,arCOG01218@arNOG,arCOG02967@arNOG	Glutaredoxin-like protein			SZUA-1439_51:c(811..1680)	putative Thioredoxin					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00154	K09716	[EC:3.1.1.96]	dtdA, GEK1	D-aminoacyl-tRNA deacylase	02HFS@arcNOG,0KSAY@eurNOG,COG1650@NOG,arCOG01616@arNOG	Hydrolyzes D-tyrosyl-tRNA(Tyr) into D-tyrosine and free tRNA(Tyr) (By similarity)			SZUA-1439_51:1932..2768	D-aminoacyl-tRNA deacylase	K09716	K09716	K09716	K03531	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00155					02HRS@arcNOG,0KT08@eurNOG,COG2061@NOG,arCOG04396@arNOG	amino acid-binding ACT domain protein			SZUA-1439_52:c(73..339)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00156	K00826	[EC:2.6.1.42]	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase	02GY2@arcNOG,0KRJ0@eurNOG,COG0115@NOG,arCOG02297@arNOG	branched-chain amino acid aminotransferase (EC 2.6.1.42)			SZUA-1439_52:c(317..1216)	Putative branched-chain-amino-acid aminotransferase	K00826	K00826	K00826	K00826	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00157	K09740		K09740	uncharacterized protein	0KS6M@eurNOG,COG2122@NOG,arCOG04376@arNOG	UPF0280 protein			SZUA-1439_52:c(1436..2152)	hypothetical protein	K09740	K09740	K09740	K09740	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00158	K02626	[EC:4.1.1.19]	pdaD	arginine decarboxylase	0KS0N@eurNOG,COG1945@NOG,arCOG04490@arNOG	Pyruvoyl-dependent arginine decarboxylase			SZUA-1439_53:c(121..609)	Pyruvoyl-dependent arginine decarboxylase	K02626	K02626	K02626	K02626	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00159	K18532	[EC:2.7.4.3]	AK6, FAP7	adenylate kinase	02HQR@arcNOG,0KTYK@eurNOG,COG1936@NOG,arCOG01038@arNOG	adenylate kinase (EC 2.7.4.3)			SZUA-1439_53:695..1258	Putative adenylate kinase	K18532	K18532	K18532	K18532	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00160	K07321		cooC	CO dehydrogenase maturation factor	02GWM@arcNOG,0KRN8@eurNOG,COG3640@NOG,arCOG00587@arNOG	Cobyrinic acid ac-diamide synthase			SZUA-1439_53:c(1488..2243)	Iron-sulfur cluster carrier protein	K07321	K07321	K07321	K07321	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00161	K03498		trkH, trkG, ktrB	trk system potassium uptake protein	02HB1@arcNOG,0KRD0@eurNOG,COG0168@NOG,arCOG04145@arNOG	potassium uptake protein, TrkH family			SZUA-1439_53:c(2283..3722)	hypothetical protein	K03498	K03498	K03498	K03498	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00162					02GX6@arcNOG,0KYKQ@eurNOG,COG0206@NOG,arCOG02202@arNOG	Inherit from arCOG: cell division protein FtsZ			SZUA-1439_53:c(3840..4769)	Tubulin-like protein CetZ1					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00163	K08979		K08979	putative membrane protein	02GZR@arcNOG,0KRCQ@eurNOG,COG3356@NOG,arCOG04351@arNOG	Predicted membrane protein (DUF2070)			SZUA-1439_53:c(4975..5625)	hypothetical protein	K08979			K08979	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00164					02HCR@arcNOG,0KRM0@eurNOG,COG1031@NOG,arCOG01359@arNOG	Radical SAM domain protein			SZUA-1439_54:c(79..1632)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00165	K02434	[EC:6.3.5.6][EC:6.3.5.7]	gatB, PET112	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B	02H1Z@arcNOG,0KRUG@eurNOG,COG0064@NOG,arCOG01718@arNOG	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)			SZUA-1439_55:16..1413	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	K02434	K02434	K02434	K02434	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00166	K00784	[EC:3.1.26.11]	rnz	ribonuclease Z	02HQG@arcNOG,0KRT3@eurNOG,COG1234@NOG,arCOG00500@arNOG	Metallo-beta-lactamase superfamily			SZUA-1439_55:c(1576..2295)	Ribonuclease Z	K00784			K00784	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00167	K01719	[EC:4.2.1.75]	hemD, UROS	uroporphyrinogen-III synthase	02HWC@arcNOG,0KSV5@eurNOG,COG1587@NOG,arCOG02048@arNOG	uroporphyrinogen III synthase			SZUA-1439_55:2564..3262	hypothetical protein	K01719	K01719	K01719	K01719	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00168	K03635	[EC:2.8.1.12]	MOCS2B, moaE	molybdopterin synthase catalytic subunit	0KSHA@eurNOG,COG0314@NOG,arCOG00533@arNOG	Bifunctional molybdopterin-guanine dinucleotide biosynthesis protein MobB MoaE			SZUA-1439_56:136..396	putative molybdopterin synthase	K03635	K03635		K03635	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00169	K00384	[EC:1.8.1.9]	trxB, TRR	thioredoxin reductase (NADPH)	0KS5T@eurNOG,COG0492@NOG,arCOG01296@arNOG	Thioredoxin reductase			SZUA-1439_56:601..1509	Sulfide dehydrogenase subunit alpha	K00384	K00384	K00384	K00384	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00170									SZUA-1439_57:70..222	hypothetical protein					
